"Country"	"variable"	"value"
"Australia"	"6_1_1"	NA
"Austria"	"6_1_1"	"52.4"
"Belgium"	"6_1_1"	"75.9"
"Canada"	"6_1_1"	NA
"Switzerland"	"6_1_1"	NA
"Chile"	"6_1_1"	NA
"Czechia"	"6_1_1"	"71.3"
"Germany"	"6_1_1"	"62.8"
"Denmark"	"6_1_1"	"85"
"Spain"	"6_1_1"	"63.2"
"Estonia"	"6_1_1"	"61.1"
"Finland"	"6_1_1"	"78.6"
"France"	"6_1_1"	"68.4"
"United Kingdom"	"6_1_1"	"92.3"
"Greece"	"6_1_1"	"64.3"
"Hungary"	"6_1_1"	"91.8"
"Ireland"	"6_1_1"	"75.7"
"Israel"	"6_1_1"	NA
"Italy"	"6_1_1"	"81.2"
"Japan"	"6_1_1"	NA
"Republic of Korea"	"6_1_1"	NA
"Lithuania"	"6_1_1"	"62.5"
"Luxembourg"	"6_1_1"	"72.5"
"Latvia"	"6_1_1"	"46.6"
"Netherlands"	"6_1_1"	"71.3"
"Norway"	"6_1_1"	"70.9"
"New Zealand"	"6_1_1"	NA
"Poland"	"6_1_1"	"40.1"
"Portugal"	"6_1_1"	"79.3"
"Slovakia"	"6_1_1"	"54"
"Slovenia"	"6_1_1"	"71.4"
"Sweden"	"6_1_1"	"72.9"
"Turkey"	"6_1_1"	NA
"United States of America"	"6_1_1"	NA
"Australia"	"6_2_1"	NA
"Austria"	"6_2_1"	NA
"Belgium"	"6_2_1"	NA
"Canada"	"6_2_1"	NA
"Switzerland"	"6_2_1"	NA
"Chile"	"6_2_1"	NA
"Czechia"	"6_2_1"	NA
"Germany"	"6_2_1"	NA
"Denmark"	"6_2_1"	NA
"Spain"	"6_2_1"	NA
"Estonia"	"6_2_1"	NA
"Finland"	"6_2_1"	NA
"France"	"6_2_1"	NA
"United Kingdom"	"6_2_1"	NA
"Greece"	"6_2_1"	NA
"Hungary"	"6_2_1"	NA
"Ireland"	"6_2_1"	NA
"Israel"	"6_2_1"	NA
"Italy"	"6_2_1"	NA
"Japan"	"6_2_1"	NA
"Republic of Korea"	"6_2_1"	NA
"Lithuania"	"6_2_1"	NA
"Luxembourg"	"6_2_1"	NA
