"Country"	"variable"	"value"
"Australia"	"2_1_1"	"0.01"
"Austria"	"2_1_1"	"0.46"
"Belgium"	"2_1_1"	"0.16"
"Canada"	"2_1_1"	"0.07"
"Switzerland"	"2_1_1"	"0.18"
"Chile"	"2_1_1"	"0.08"
"Czechia"	"2_1_1"	"0.01"
"Germany"	"2_1_1"	"0.19"
"Denmark"	"2_1_1"	"0.6"
"Spain"	"2_1_1"	"0.12"
"Estonia"	"2_1_1"	"0.08"
"Finland"	"2_1_1"	"0.48"
"France"	"2_1_1"	"0.37"
"United Kingdom"	"2_1_1"	"0.02"
"Greece"	"2_1_1"	"0.09"
"Hungary"	"2_1_1"	"0.01"
"Ireland"	"2_1_1"	"0.23"
"Israel"	"2_1_1"	"0.06"
"Italy"	"2_1_1"	"0.17"
"Japan"	"2_1_1"	"0.01"
"Republic of Korea"	"2_1_1"	"0.04"
"Lithuania"	"2_1_1"	"0.07"
"Luxembourg"	"2_1_1"	"0.18"
"Latvia"	"2_1_1"	"0.08"
"Netherlands"	"2_1_1"	"0.07"
"Norway"	"2_1_1"	"0.12"
"New Zealand"	"2_1_1"	"0.1"
"Poland"	"2_1_1"	"0.01"
"Portugal"	"2_1_1"	"0.27"
"Slovakia"	"2_1_1"	"0.01"
"Slovenia"	"2_1_1"	"0.01"
"Sweden"	"2_1_1"	"0.13"
"Turkey"	"2_1_1"	NA
"United States of America"	"2_1_1"	"0.03"
"Australia"	"2_1_2"	"0.01"
"Austria"	"2_1_2"	"0.03"
"Belgium"	"2_1_2"	"0.01"
"Canada"	"2_1_2"	"0.04"
"Switzerland"	"2_1_2"	"0.04"
"Chile"	"2_1_2"	NA
"Czechia"	"2_1_2"	"0.04"
"Germany"	"2_1_2"	"0.01"
"Denmark"	"2_1_2"	"0.05"
"Spain"	"2_1_2"	"0.02"
"Estonia"	"2_1_2"	"0.03"
"Finland"	"2_1_2"	"0.03"
"France"	"2_1_2"	"0.04"
"United Kingdom"	"2_1_2"	NA
"Greece"	"2_1_2"	"0.06"
"Hungary"	"2_1_2"	"0.01"
"Ireland"	"2_1_2"	"0.02"
"Israel"	"2_1_2"	"0.01"
"Italy"	"2_1_2"	"0.01"
"Japan"	"2_1_2"	NA
"Republic of Korea"	"2_1_2"	NA
"Lithuania"	"2_1_2"	"0.04"
"Luxembourg"	"2_1_2"	"0.02"
"Latvia"	"2_1_2"	"0.03"
"Netherlands"	"2_1_2"	"0.01"
"Norway"	"2_1_2"	"0.03"
