"Country"	"variable"	"value"
"Australia"	"7_1_1"	"11"
"Austria"	"7_1_1"	"14.2"
"Belgium"	"7_1_1"	"18"
"Canada"	"7_1_1"	"11.9"
"Switzerland"	"7_1_1"	NA
"Chile"	"7_1_1"	"12.1"
"Czechia"	"7_1_1"	"6.9"
"Germany"	"7_1_1"	"13.8"
"Denmark"	"7_1_1"	"9.8"
"Spain"	"7_1_1"	"8.2"
"Estonia"	"7_1_1"	"15.4"
"Finland"	"7_1_1"	"21"
"France"	"7_1_1"	"3.6"
"United Kingdom"	"7_1_1"	"8.5"
"Greece"	"7_1_1"	"10.9"
"Hungary"	"7_1_1"	NA
"Ireland"	"7_1_1"	"9.9"
"Israel"	"7_1_1"	"11.4"
"Italy"	"7_1_1"	"5.3"
"Japan"	"7_1_1"	"22.3"
"Republic of Korea"	"7_1_1"	NA
"Lithuania"	"7_1_1"	"12.5"
"Luxembourg"	"7_1_1"	NA
"Latvia"	"7_1_1"	NA
"Netherlands"	"7_1_1"	"8.5"
"Norway"	"7_1_1"	"9.1"
"New Zealand"	"7_1_1"	"10.8"
"Poland"	"7_1_1"	"13.1"
"Portugal"	"7_1_1"	NA
"Slovakia"	"7_1_1"	NA
"Slovenia"	"7_1_1"	"14"
"Sweden"	"7_1_1"	"11.9"
"Turkey"	"7_1_1"	"16.1"
"United States of America"	"7_1_1"	"11.3"
"Australia"	"7_1_2"	"11.2"
"Austria"	"7_1_2"	"11"
"Belgium"	"7_1_2"	"9.9"
"Canada"	"7_1_2"	"17.9"
"Switzerland"	"7_1_2"	NA
"Chile"	"7_1_2"	"29.2"
"Czechia"	"7_1_2"	"9.3"
"Germany"	"7_1_2"	"11.2"
"Denmark"	"7_1_2"	"20.9"
"Spain"	"7_1_2"	"34.7"
"Estonia"	"7_1_2"	"15.2"
"Finland"	"7_1_2"	"20.3"
"France"	"7_1_2"	"6.2"
"United Kingdom"	"7_1_2"	"14.4"
"Greece"	"7_1_2"	"16.1"
"Hungary"	"7_1_2"	NA
"Ireland"	"7_1_2"	"10.8"
"Israel"	"7_1_2"	"18.7"
"Italy"	"7_1_2"	"24.7"
"Japan"	"7_1_2"	"13.8"
"Republic of Korea"	"7_1_2"	NA
"Lithuania"	"7_1_2"	"44.3"
"Luxembourg"	"7_1_2"	NA
"Latvia"	"7_1_2"	NA
"Netherlands"	"7_1_2"	"22.3"
"Norway"	"7_1_2"	"8.9"
"New Zealand"	"7_1_2"	"16.6"
"Poland"	"7_1_2"	"43.7"
"Portugal"	"7_1_2"	NA
"Slovakia"	"7_1_2"	NA
"Slovenia"	"7_1_2"	"8.1"
"Sweden"	"7_1_2"	"23.7"
"Turkey"	"7_1_2"	"16.2"
"United States of America"	"7_1_2"	"27.4"
"Australia"	"7_2_1"	NA
"Austria"	"7_2_1"	"37.5"
"Belgium"	"7_2_1"	"18.7"
"Canada"	"7_2_1"	NA
"Switzerland"	"7_2_1"	"34.7"
"Chile"	"7_2_1"	NA
"Czechia"	"7_2_1"	"16.8"
"Germany"	"7_2_1"	"18.9"
"Denmark"	"7_2_1"	"45.2"
"Spain"	"7_2_1"	"30.8"
"Estonia"	"7_2_1"	"22.6"
"Finland"	"7_2_1"	"42.4"
"France"	"7_2_1"	"26.9"
"United Kingdom"	"7_2_1"	"26.7"
"Greece"	"7_2_1"	"8.6"
"Hungary"	"7_2_1"	"12.2"
"Ireland"	"7_2_1"	"20.4"
"Israel"	"7_2_1"	NA
"Italy"	"7_2_1"	"14.3"
"Japan"	"7_2_1"	NA
"Republic of Korea"	"7_2_1"	NA
"Lithuania"	"7_2_1"	"9.9"
"Luxembourg"	"7_2_1"	"38"
"Latvia"	"7_2_1"	"24.9"
"Netherlands"	"7_2_1"	"40.1"
"Norway"	"7_2_1"	"35.5"
"New Zealand"	"7_2_1"	NA
"Poland"	"7_2_1"	"13.6"
"Portugal"	"7_2_1"	"25.6"
"Slovakia"	"7_2_1"	"21.1"
"Slovenia"	"7_2_1"	"37.3"
"Sweden"	"7_2_1"	"38.6"
"Turkey"	"7_2_1"	"8.2"
"United States of America"	"7_2_1"	NA
"Australia"	"7_2_2"	NA
"Austria"	"7_2_2"	NA
"Belgium"	"7_2_2"	NA
"Canada"	"7_2_2"	NA
"Switzerland"	"7_2_2"	NA
"Chile"	"7_2_2"	NA
"Czechia"	"7_2_2"	NA
"Germany"	"7_2_2"	NA
"Denmark"	"7_2_2"	NA
"Spain"	"7_2_2"	NA
"Estonia"	"7_2_2"	NA
"Finland"	"7_2_2"	NA
"France"	"7_2_2"	NA
"United Kingdom"	"7_2_2"	NA
"Greece"	"7_2_2"	NA
"Hungary"	"7_2_2"	NA
"Ireland"	"7_2_2"	NA
"Israel"	"7_2_2"	NA
"Italy"	"7_2_2"	NA
"Japan"	"7_2_2"	NA
"Republic of Korea"	"7_2_2"	NA
"Lithuania"	"7_2_2"	NA
"Luxembourg"	"7_2_2"	NA
"Latvia"	"7_2_2"	NA
"Netherlands"	"7_2_2"	NA
"Norway"	"7_2_2"	NA
"New Zealand"	"7_2_2"	NA
"Poland"	"7_2_2"	NA
"Portugal"	"7_2_2"	NA
"Slovakia"	"7_2_2"	NA
"Slovenia"	"7_2_2"	NA
"Sweden"	"7_2_2"	NA
"Turkey"	"7_2_2"	NA
"United States of America"	"7_2_2"	NA
"Australia"	"7_1_1_outliers_adjusted"	"11"
"Austria"	"7_1_1_outliers_adjusted"	"14.2"
"Belgium"	"7_1_1_outliers_adjusted"	"18"
"Canada"	"7_1_1_outliers_adjusted"	"11.9"
"Switzerland"	"7_1_1_outliers_adjusted"	NA
"Chile"	"7_1_1_outliers_adjusted"	"12.1"
"Czechia"	"7_1_1_outliers_adjusted"	"6.9"
"Germany"	"7_1_1_outliers_adjusted"	"13.8"
