"Country"	"variable"	"value"
"Australia"	"3_1_1"	NA
"Austria"	"3_1_1"	"88.1"
"Belgium"	"3_1_1"	"83.9"
"Canada"	"3_1_1"	NA
"Switzerland"	"3_1_1"	NA
"Chile"	"3_1_1"	"63.8"
"Czechia"	"3_1_1"	"90.6"
"Germany"	"3_1_1"	"77.3"
"Denmark"	"3_1_1"	"86.6"
"Spain"	"3_1_1"	"86"
"Estonia"	"3_1_1"	"86.1"
"Finland"	"3_1_1"	"83.1"
"France"	"3_1_1"	"78.9"
"United Kingdom"	"3_1_1"	"85.7"
"Greece"	"3_1_1"	"21.7"
"Hungary"	"3_1_1"	"43.8"
"Ireland"	"3_1_1"	"77.4"
"Israel"	"3_1_1"	NA
"Italy"	"3_1_1"	"60.2"
"Japan"	"3_1_1"	"79"
"Republic of Korea"	"3_1_1"	NA
"Lithuania"	"3_1_1"	"61.6"
"Luxembourg"	"3_1_1"	"77.1"
"Latvia"	"3_1_1"	"99.9"
"Netherlands"	"3_1_1"	"85"
"Norway"	"3_1_1"	"99.1"
"New Zealand"	"3_1_1"	NA
"Poland"	"3_1_1"	"44.7"
"Portugal"	"3_1_1"	"75"
"Slovakia"	"3_1_1"	"70"
"Slovenia"	"3_1_1"	"84.1"
"Sweden"	"3_1_1"	"93.1"
"Turkey"	"3_1_1"	NA
"United States of America"	"3_1_1"	NA
"Australia"	"3_1_2"	NA
"Austria"	"3_1_2"	"36.6"
"Belgium"	"3_1_2"	"49.4"
"Canada"	"3_1_2"	NA
"Switzerland"	"3_1_2"	NA
"Chile"	"3_1_2"	NA
"Czechia"	"3_1_2"	"89.7"
"Germany"	"3_1_2"	"38.3"
"Denmark"	"3_1_2"	"27.2"
"Spain"	"3_1_2"	"39.7"
"Estonia"	"3_1_2"	"20.9"
"Finland"	"3_1_2"	"44.3"
"France"	"3_1_2"	"31.7"
"United Kingdom"	"3_1_2"	"31.7"
"Greece"	"3_1_2"	"21.3"
"Hungary"	"3_1_2"	"18.9"
"Ireland"	"3_1_2"	"37.5"
"Israel"	"3_1_2"	NA
"Italy"	"3_1_2"	"46.5"
"Japan"	"3_1_2"	NA
"Republic of Korea"	"3_1_2"	NA
"Lithuania"	"3_1_2"	"21.8"
"Luxembourg"	"3_1_2"	"47.8"
"Latvia"	"3_1_2"	"16.6"
"Netherlands"	"3_1_2"	"38"
"Norway"	"3_1_2"	"52.4"
"New Zealand"	"3_1_2"	NA
"Poland"	"3_1_2"	"34.5"
"Portugal"	"3_1_2"	"42.6"
"Slovakia"	"3_1_2"	"58.7"
"Slovenia"	"3_1_2"	"51.1"
"Sweden"	"3_1_2"	"50"
"Turkey"	"3_1_2"	NA
"United States of America"	"3_1_2"	NA
"Australia"	"3_1_3"	NA
"Austria"	"3_1_3"	"8.6"
"Belgium"	"3_1_3"	"34.2"
"Canada"	"3_1_3"	NA
"Switzerland"	"3_1_3"	NA
"Chile"	"3_1_3"	NA
"Czechia"	"3_1_3"	"25.8"
"Germany"	"3_1_3"	"11.2"
"Denmark"	"3_1_3"	"1.5"
"Spain"	"3_1_3"	"82.6"
"Estonia"	"3_1_3"	"29.3"
"Finland"	"3_1_3"	"8.3"
"France"	"3_1_3"	"6.9"
"United Kingdom"	"3_1_3"	"-5.2"
"Greece"	"3_1_3"	"3.3"
"Hungary"	"3_1_3"	"-10.8"
"Ireland"	"3_1_3"	"15.7"
"Israel"	"3_1_3"	NA
"Italy"	"3_1_3"	"87"
"Japan"	"3_1_3"	NA
"Republic of Korea"	"3_1_3"	NA
"Lithuania"	"3_1_3"	"32.8"
"Luxembourg"	"3_1_3"	"7.4"
"Latvia"	"3_1_3"	"174.5"
"Netherlands"	"3_1_3"	"13.8"
"Norway"	"3_1_3"	"15.2"
"New Zealand"	"3_1_3"	NA
"Poland"	"3_1_3"	"28.4"
"Portugal"	"3_1_3"	"70.1"
"Slovakia"	"3_1_3"	"15.9"
"Slovenia"	"3_1_3"	"15.4"
"Sweden"	"3_1_3"	"18.8"
"Turkey"	"3_1_3"	NA
"United States of America"	"3_1_3"	NA
"Australia"	"3_2_1"	"48.4"
"Austria"	"3_2_1"	"39.8"
"Belgium"	"3_2_1"	"39"
"Canada"	"3_2_1"	"48.7"
"Switzerland"	"3_2_1"	NA
"Chile"	"3_2_1"	"39.4"
"Czechia"	"3_2_1"	"42.2"
"Germany"	"3_2_1"	"45.7"
"Denmark"	"3_2_1"	"58"
"Spain"	"3_2_1"	"35.3"
"Estonia"	"3_2_1"	"41.7"
"Finland"	"3_2_1"	"55.3"
"France"	"3_2_1"	"31.6"
"United Kingdom"	"3_2_1"	"48.7"
"Greece"	"3_2_1"	"16.2"
"Hungary"	"3_2_1"	NA
"Ireland"	"3_2_1"	"43"
"Israel"	"3_2_1"	"38.8"
"Italy"	"3_2_1"	"20.1"
"Japan"	"3_2_1"	"35.2"
"Republic of Korea"	"3_2_1"	NA
"Lithuania"	"3_2_1"	"27.4"
"Luxembourg"	"3_2_1"	NA
"Latvia"	"3_2_1"	NA
"Netherlands"	"3_2_1"	"52.9"
"Norway"	"3_2_1"	"56"
"New Zealand"	"3_2_1"	"57.4"
"Poland"	"3_2_1"	"28.7"
"Portugal"	"3_2_1"	NA
"Slovakia"	"3_2_1"	NA
"Slovenia"	"3_2_1"	"36.5"
"Sweden"	"3_2_1"	"52.5"
"Turkey"	"3_2_1"	"16.2"
"United States of America"	"3_2_1"	"50.5"
"Australia"	"3_2_2"	"36"
"Austria"	"3_2_2"	"40"
"Belgium"	"3_2_2"	"24"
"Canada"	"3_2_2"	"32"
"Switzerland"	"3_2_2"	NA
"Chile"	"3_2_2"	"24"
"Czechia"	"3_2_2"	"25"
"Germany"	"3_2_2"	"32"
"Denmark"	"3_2_2"	"42"
"Spain"	"3_2_2"	"31"
"Estonia"	"3_2_2"	"32"
"Finland"	"3_2_2"	"32"
"France"	"3_2_2"	"32"
"United Kingdom"	"3_2_2"	"32"
"Greece"	"3_2_2"	"32"
"Hungary"	"3_2_2"	NA
"Ireland"	"3_2_2"	"30"
"Israel"	"3_2_2"	"37.5"
"Italy"	"3_2_2"	"30"
"Japan"	"3_2_2"	"24"
"Republic of Korea"	"3_2_2"	NA
"Lithuania"	"3_2_2"	"32"
"Luxembourg"	"3_2_2"	NA
"Latvia"	"3_2_2"	NA
"Netherlands"	"3_2_2"	"32"
"Norway"	"3_2_2"	NA
"New Zealand"	"3_2_2"	"32"
"Poland"	"3_2_2"	"23"
"Portugal"	"3_2_2"	NA
"Slovakia"	"3_2_2"	NA
"Slovenia"	"3_2_2"	"28"
"Sweden"	"3_2_2"	"35.3"
"Turkey"	"3_2_2"	"18"
"United States of America"	"3_2_2"	"30"
"Australia"	"3_2_3"	"71.6"
"Austria"	"3_2_3"	"63.1"
"Belgium"	"3_2_3"	"64"
"Canada"	"3_2_3"	"71.1"
"Switzerland"	"3_2_3"	NA
"Chile"	"3_2_3"	"77.4"
"Czechia"	"3_2_3"	"60.7"
"Germany"	"3_2_3"	"61.6"
"Denmark"	"3_2_3"	"65.3"
"Spain"	"3_2_3"	"73.7"
"Estonia"	"3_2_3"	"61.8"
"Finland"	"3_2_3"	"71.1"
"France"	"3_2_3"	"67.6"
"United Kingdom"	"3_2_3"	"65.4"
"Greece"	"3_2_3"	"60.8"
"Hungary"	"3_2_3"	NA
"Ireland"	"3_2_3"	"63.3"
"Israel"	"3_2_3"	"65.3"
"Italy"	"3_2_3"	"61.4"
"Japan"	"3_2_3"	"61"
"Republic of Korea"	"3_2_3"	NA
"Lithuania"	"3_2_3"	"40.9"
"Luxembourg"	"3_2_3"	NA
"Latvia"	"3_2_3"	NA
"Netherlands"	"3_2_3"	"60.7"
"Norway"	"3_2_3"	"75.3"
"New Zealand"	"3_2_3"	"73.3"
"Poland"	"3_2_3"	"50.5"
"Portugal"	"3_2_3"	NA
"Slovakia"	"3_2_3"	NA
"Slovenia"	"3_2_3"	"64.4"
"Sweden"	"3_2_3"	"68.2"
"Turkey"	"3_2_3"	"43"
"United States of America"	"3_2_3"	"74.6"
"Australia"	"3_2_4"	NA
"Austria"	"3_2_4"	NA
"Belgium"	"3_2_4"	NA
"Canada"	"3_2_4"	NA
"Switzerland"	"3_2_4"	NA
"Chile"	"3_2_4"	NA
"Czechia"	"3_2_4"	NA
"Germany"	"3_2_4"	NA
"Denmark"	"3_2_4"	NA
"Spain"	"3_2_4"	NA
"Estonia"	"3_2_4"	NA
"Finland"	"3_2_4"	NA
"France"	"3_2_4"	NA
"United Kingdom"	"3_2_4"	NA
"Greece"	"3_2_4"	NA
"Hungary"	"3_2_4"	NA
"Ireland"	"3_2_4"	NA
"Israel"	"3_2_4"	NA
"Italy"	"3_2_4"	NA
"Japan"	"3_2_4"	NA
"Republic of Korea"	"3_2_4"	NA
"Lithuania"	"3_2_4"	NA
"Luxembourg"	"3_2_4"	NA
"Latvia"	"3_2_4"	NA
"Netherlands"	"3_2_4"	NA
"Norway"	"3_2_4"	NA
"New Zealand"	"3_2_4"	NA
"Poland"	"3_2_4"	NA
"Portugal"	"3_2_4"	NA
"Slovakia"	"3_2_4"	NA
"Slovenia"	"3_2_4"	NA
"Sweden"	"3_2_4"	NA
"Turkey"	"3_2_4"	NA
"United States of America"	"3_2_4"	NA
"Australia"	"3_1_1_outliers_adjusted"	NA
"Austria"	"3_1_1_outliers_adjusted"	"88.1"
"Belgium"	"3_1_1_outliers_adjusted"	"83.9"
"Canada"	"3_1_1_outliers_adjusted"	NA
"Switzerland"	"3_1_1_outliers_adjusted"	NA
"Chile"	"3_1_1_outliers_adjusted"	"63.8"
"Czechia"	"3_1_1_outliers_adjusted"	"90.6"
"Germany"	"3_1_1_outliers_adjusted"	"77.3"
"Denmark"	"3_1_1_outliers_adjusted"	"86.6"
"Spain"	"3_1_1_outliers_adjusted"	"86"
"Estonia"	"3_1_1_outliers_adjusted"	"86.1"
"Finland"	"3_1_1_outliers_adjusted"	"83.1"
"France"	"3_1_1_outliers_adjusted"	"78.9"
"United Kingdom"	"3_1_1_outliers_adjusted"	"85.7"
"Greece"	"3_1_1_outliers_adjusted"	"21.7"
"Hungary"	"3_1_1_outliers_adjusted"	"43.8"
"Ireland"	"3_1_1_outliers_adjusted"	"77.4"
"Israel"	"3_1_1_outliers_adjusted"	NA
"Italy"	"3_1_1_outliers_adjusted"	"60.2"
"Japan"	"3_1_1_outliers_adjusted"	"79"
"Republic of Korea"	"3_1_1_outliers_adjusted"	NA
"Lithuania"	"3_1_1_outliers_adjusted"	"61.6"
"Luxembourg"	"3_1_1_outliers_adjusted"	"77.1"
"Latvia"	"3_1_1_outliers_adjusted"	"99.9"
"Netherlands"	"3_1_1_outliers_adjusted"	"85"
"Norway"	"3_1_1_outliers_adjusted"	"99.1"
"New Zealand"	"3_1_1_outliers_adjusted"	NA
"Poland"	"3_1_1_outliers_adjusted"	"44.7"
"Portugal"	"3_1_1_outliers_adjusted"	"75"
"Slovakia"	"3_1_1_outliers_adjusted"	"70"
"Slovenia"	"3_1_1_outliers_adjusted"	"84.1"
"Sweden"	"3_1_1_outliers_adjusted"	"93.1"
"Turkey"	"3_1_1_outliers_adjusted"	NA
"United States of America"	"3_1_1_outliers_adjusted"	NA
"Australia"	"3_1_2_outliers_adjusted"	NA
"Austria"	"3_1_2_outliers_adjusted"	"36.6"
"Belgium"	"3_1_2_outliers_adjusted"	"49.4"
"Canada"	"3_1_2_outliers_adjusted"	NA
"Switzerland"	"3_1_2_outliers_adjusted"	NA
"Chile"	"3_1_2_outliers_adjusted"	NA
"Czechia"	"3_1_2_outliers_adjusted"	"89.7"
"Germany"	"3_1_2_outliers_adjusted"	"38.3"
"Denmark"	"3_1_2_outliers_adjusted"	"27.2"
"Spain"	"3_1_2_outliers_adjusted"	"39.7"
"Estonia"	"3_1_2_outliers_adjusted"	"20.9"
"Finland"	"3_1_2_outliers_adjusted"	"44.3"
"France"	"3_1_2_outliers_adjusted"	"31.7"
"United Kingdom"	"3_1_2_outliers_adjusted"	"31.7"
"Greece"	"3_1_2_outliers_adjusted"	"21.3"
"Hungary"	"3_1_2_outliers_adjusted"	"18.9"
"Ireland"	"3_1_2_outliers_adjusted"	"37.5"
"Israel"	"3_1_2_outliers_adjusted"	NA
