"Country"	"variable"	"value"
"Australia"	"5_1_1"	NA
"Austria"	"5_1_1"	"35.9"
"Belgium"	"5_1_1"	"48"
"Canada"	"5_1_1"	NA
"Switzerland"	"5_1_1"	NA
"Chile"	"5_1_1"	NA
"Czechia"	"5_1_1"	"46.3"
"Germany"	"5_1_1"	"40.1"
"Denmark"	"5_1_1"	"33.5"
"Spain"	"5_1_1"	"51.8"
"Estonia"	"5_1_1"	"45.7"
"Finland"	"5_1_1"	"51.4"
"France"	"5_1_1"	"94.8"
"United Kingdom"	"5_1_1"	"66.3"
"Greece"	"5_1_1"	"69.4"
"Hungary"	"5_1_1"	"39.3"
"Ireland"	"5_1_1"	"56.1"
"Israel"	"5_1_1"	NA
"Italy"	"5_1_1"	"52.5"
"Japan"	"5_1_1"	NA
"Republic of Korea"	"5_1_1"	NA
"Lithuania"	"5_1_1"	"46.1"
"Luxembourg"	"5_1_1"	"50"
"Latvia"	"5_1_1"	"29.5"
"Netherlands"	"5_1_1"	"87.4"
"Norway"	"5_1_1"	"48.3"
"New Zealand"	"5_1_1"	NA
"Poland"	"5_1_1"	"32.3"
"Portugal"	"5_1_1"	"57"
"Slovakia"	"5_1_1"	"46.9"
"Slovenia"	"5_1_1"	"39.7"
"Sweden"	"5_1_1"	NA
"Turkey"	"5_1_1"	NA
"United States of America"	"5_1_1"	NA
"Australia"	"5_1_2"	NA
"Austria"	"5_1_2"	NA
"Belgium"	"5_1_2"	NA
"Canada"	"5_1_2"	NA
"Switzerland"	"5_1_2"	NA
"Chile"	"5_1_2"	NA
"Czechia"	"5_1_2"	NA
"Germany"	"5_1_2"	NA
"Denmark"	"5_1_2"	NA
"Spain"	"5_1_2"	NA
"Estonia"	"5_1_2"	NA
"Finland"	"5_1_2"	NA
"France"	"5_1_2"	NA
"United Kingdom"	"5_1_2"	NA
"Greece"	"5_1_2"	NA
"Hungary"	"5_1_2"	NA
"Ireland"	"5_1_2"	NA
"Israel"	"5_1_2"	NA
"Italy"	"5_1_2"	NA
"Japan"	"5_1_2"	NA
"Republic of Korea"	"5_1_2"	NA
"Lithuania"	"5_1_2"	NA
"Luxembourg"	"5_1_2"	NA
"Latvia"	"5_1_2"	NA
"Netherlands"	"5_1_2"	NA
"Norway"	"5_1_2"	NA
"New Zealand"	"5_1_2"	NA
"Poland"	"5_1_2"	NA
"Portugal"	"5_1_2"	NA
"Slovakia"	"5_1_2"	NA
"Slovenia"	"5_1_2"	NA
"Sweden"	"5_1_2"	NA
"Turkey"	"5_1_2"	NA
"United States of America"	"5_1_2"	NA
"Australia"	"5_2_1"	"61.8"
"Austria"	"5_2_1"	"55.5"
"Belgium"	"5_2_1"	"59.4"
"Canada"	"5_2_1"	"61.5"
"Switzerland"	"5_2_1"	NA
"Chile"	"5_2_1"	"64.4"
"Czechia"	"5_2_1"	"53.7"
"Germany"	"5_2_1"	"51.2"
"Denmark"	"5_2_1"	"82.4"
"Spain"	"5_2_1"	"48.1"
"Estonia"	"5_2_1"	"34.3"
"Finland"	"5_2_1"	"53.7"
"France"	"5_2_1"	"48.8"
"United Kingdom"	"5_2_1"	"62.2"
"Greece"	"5_2_1"	"58.5"
"Hungary"	"5_2_1"	NA
"Ireland"	"5_2_1"	"62.9"
"Israel"	"5_2_1"	"41.1"
"Italy"	"5_2_1"	"42.1"
"Japan"	"5_2_1"	"23.6"
"Republic of Korea"	"5_2_1"	NA
"Lithuania"	"5_2_1"	"42.3"
"Luxembourg"	"5_2_1"	NA
"Latvia"	"5_2_1"	NA
"Netherlands"	"5_2_1"	"55.1"
"Norway"	"5_2_1"	"60.5"
"New Zealand"	"5_2_1"	"66.3"
"Poland"	"5_2_1"	"55.1"
"Portugal"	"5_2_1"	NA
"Slovakia"	"5_2_1"	NA
"Slovenia"	"5_2_1"	"36.7"
"Sweden"	"5_2_1"	"40.9"
"Turkey"	"5_2_1"	"47.3"
"United States of America"	"5_2_1"	"61.2"
"Australia"	"5_2_2"	NA
"Austria"	"5_2_2"	NA
"Belgium"	"5_2_2"	NA
"Canada"	"5_2_2"	NA
"Switzerland"	"5_2_2"	NA
"Chile"	"5_2_2"	NA
"Czechia"	"5_2_2"	NA
"Germany"	"5_2_2"	NA
"Denmark"	"5_2_2"	NA
"Spain"	"5_2_2"	NA
"Estonia"	"5_2_2"	NA
"Finland"	"5_2_2"	NA
"France"	"5_2_2"	NA
"United Kingdom"	"5_2_2"	NA
"Greece"	"5_2_2"	NA
"Hungary"	"5_2_2"	NA
"Ireland"	"5_2_2"	NA
"Israel"	"5_2_2"	NA
"Italy"	"5_2_2"	NA
"Japan"	"5_2_2"	NA
"Republic of Korea"	"5_2_2"	NA
"Lithuania"	"5_2_2"	NA
"Luxembourg"	"5_2_2"	NA
"Latvia"	"5_2_2"	NA
"Netherlands"	"5_2_2"	NA
"Norway"	"5_2_2"	NA
"New Zealand"	"5_2_2"	NA
"Poland"	"5_2_2"	NA
"Portugal"	"5_2_2"	NA
"Slovakia"	"5_2_2"	NA
"Slovenia"	"5_2_2"	NA
"Sweden"	"5_2_2"	NA
"Turkey"	"5_2_2"	NA
"United States of America"	"5_2_2"	NA
"Australia"	"5_2_3"	NA
"Austria"	"5_2_3"	NA
"Belgium"	"5_2_3"	NA
"Canada"	"5_2_3"	NA
"Switzerland"	"5_2_3"	NA
"Chile"	"5_2_3"	NA
"Czechia"	"5_2_3"	NA
"Germany"	"5_2_3"	NA
"Denmark"	"5_2_3"	NA
"Spain"	"5_2_3"	NA
"Estonia"	"5_2_3"	NA
"Finland"	"5_2_3"	NA
"France"	"5_2_3"	NA
"United Kingdom"	"5_2_3"	NA
"Greece"	"5_2_3"	NA
"Hungary"	"5_2_3"	NA
"Ireland"	"5_2_3"	NA
"Israel"	"5_2_3"	NA
"Italy"	"5_2_3"	NA
"Japan"	"5_2_3"	NA
"Republic of Korea"	"5_2_3"	NA
"Lithuania"	"5_2_3"	NA
"Luxembourg"	"5_2_3"	NA
"Latvia"	"5_2_3"	NA
"Netherlands"	"5_2_3"	NA
"Norway"	"5_2_3"	NA
"New Zealand"	"5_2_3"	NA
"Poland"	"5_2_3"	NA
"Portugal"	"5_2_3"	NA
"Slovakia"	"5_2_3"	NA
"Slovenia"	"5_2_3"	NA
"Sweden"	"5_2_3"	NA
"Turkey"	"5_2_3"	NA
"United States of America"	"5_2_3"	NA
"Australia"	"5_2_4"	NA
"Austria"	"5_2_4"	NA
"Belgium"	"5_2_4"	NA
"Canada"	"5_2_4"	NA
"Switzerland"	"5_2_4"	NA
"Chile"	"5_2_4"	NA
