"Country"	"variable"	"value"
"Australia"	"1_1_1"	22.6
"Austria"	"1_1_1"	28.1
"Belgium"	"1_1_1"	28
"Canada"	"1_1_1"	23.8
"Switzerland"	"1_1_1"	26.8
"Chile"	"1_1_1"	15.2
"Czechia"	"1_1_1"	26.9
"Germany"	"1_1_1"	32.1
"Denmark"	"1_1_1"	29.7
"Spain"	"1_1_1"	28.5
"Estonia"	"1_1_1"	28.9
"Finland"	"1_1_1"	32
"France"	"1_1_1"	30.2
"United Kingdom"	"1_1_1"	28.2
"Greece"	"1_1_1"	30.5
"Hungary"	"1_1_1"	25.7
"Ireland"	"1_1_1"	20.3
"Israel"	"1_1_1"	18.4
"Italy"	"1_1_1"	35
"Japan"	"1_1_1"	42.7
"Republic of Korea"	"1_1_1"	17.7
"Lithuania"	"1_1_1"	28
"Luxembourg"	"1_1_1"	20.1
"Latvia"	"1_1_1"	29.4
"Netherlands"	"1_1_1"	27.4
"Norway"	"1_1_1"	24.8
"New Zealand"	"1_1_1"	22.4
"Poland"	"1_1_1"	22.5
"Portugal"	"1_1_1"	31.8
"Slovakia"	"1_1_1"	19.9
"Slovenia"	"1_1_1"	26.8
"Sweden"	"1_1_1"	31.1
"Turkey"	"1_1_1"	11.7
"United States of America"	"1_1_1"	22.1
"Australia"	"1_1_2"	37.2
"Austria"	"1_1_2"	54.5
"Belgium"	"1_1_2"	46.3
"Canada"	"1_1_2"	43.8
"Switzerland"	"1_1_2"	50
"Chile"	"1_1_2"	39.2
"Czechia"	"1_1_2"	54
"Germany"	"1_1_2"	54.4
"Denmark"	"1_1_2"	41
"Spain"	"1_1_2"	71.2
"Estonia"	"1_1_2"	51.5
"Finland"	"1_1_2"	44.3
"France"	"1_1_2"	47.2
"United Kingdom"	"1_1_2"	43.6
"Greece"	"1_1_2"	67.7
"Hungary"	"1_1_2"	48.1
"Ireland"	"1_1_2"	45.1
"Israel"	"1_1_2"	48.2
"Italy"	"1_1_2"	66.2
"Japan"	"1_1_2"	71.2
"Republic of Korea"	"1_1_2"	66.3
"Lithuania"	"1_1_2"	43.7
"Luxembourg"	"1_1_2"	38.2
"Latvia"	"1_1_2"	48
"Netherlands"	"1_1_2"	48.2
"Norway"	"1_1_2"	39.1
"New Zealand"	"1_1_2"	39.5
"Poland"	"1_1_2"	56.3
"Portugal"	"1_1_2"	67.5
"Slovakia"	"1_1_2"	49.6
"Slovenia"	"1_1_2"	61.1
"Sweden"	"1_1_2"	41.3
"Turkey"	"1_1_2"	32.8
"United States of America"	"1_1_2"	36.4
"Australia"	"1_2_1"	NA
"Austria"	"1_2_1"	46.3
"Belgium"	"1_2_1"	42.5
"Canada"	"1_2_1"	42.1
"Switzerland"	"1_2_1"	NA
"Chile"	"1_2_1"	53
"Czechia"	"1_2_1"	46.7
"Germany"	"1_2_1"	54.2
"Denmark"	"1_2_1"	38.3
"Spain"	"1_2_1"	51.9
"Estonia"	"1_2_1"	43
"Finland"	"1_2_1"	33.6
"France"	"1_2_1"	49.2
"United Kingdom"	"1_2_1"	37.7
"Greece"	"1_2_1"	58.7
"Hungary"	"1_2_1"	NA
"Ireland"	"1_2_1"	42.7
