Country	6_1_1	6_2_1	6_2_2	6_2_3	6_3_1	6_3_2	6_3_3	6_1_1_adj	6_2_1_adj	6_2_2_adj	6_2_3_adj	6_3_1_adj	6_3_2_adj	6_3_3_adj	6_1_1_norm	6_2_1_norm	6_2_2_norm	6_2_3_norm	6_3_1_norm	6_3_2_norm	6_3_3_norm	ASN	TFSS	TWAR	Total	Ranking
Australia					-9.20		68.53					9.20		68.53					0.546995665		0.835528176			0.691261921		
Austria	52.40	94.08	82.30	1.30	12.12	19.22	62.08	52.40	94.08	82.30	1.30	12.12	19.22	62.08	0.235632184	0.911317544	0.73220339	0.418576276	0.400266248	0.501604994	0.672428481	0.235632184	0.687365737	0.524766574	0.482588165	17
Belgium	75.90	76.87	86.20	1.58	20.08	24.30	59.71	75.90	76.87	86.20	1.58	20.08	24.30	59.71	0.685823755	0.531622325	0.86440678	0.671723539	0	0.159680356	0.612349641	0.685823755	0.689250881	0.257343333	0.544139323	12
Canada					8.71	18.20	66.84					8.71	18.20	66.84					0.571261557	0.570384605	0.792853222			0.644833128		
Switzerland																										
Chile					-9.14	20.14	47.93					9.14	20.14	47.93					0.54987642	0.439381663	0.314031065			0.434429716		
Czech Republic	71.30	63.64	60.70		-3.46	12.17	65.31	71.30	63.64	60.70		3.46	12.17	65.31	0.597701149	0.239760315	0		0.835334357	0.975377465	0.754132153	0.597701149	0.119880158	0.854947992	0.524176433	14
Germany	62.80	84.41	79.60	1.30	18.39	21.09	68.53	62.80	84.41	79.60	1.30	18.39	21.09	68.53	0.4348659	0.697899282	0.640677966	0.418441678	0.084925831	0.375467547	0.835584455	0.4348659	0.585672976	0.431992611	0.484177162	16
Denmark	85.00	91.22	90.20	1.51	9.67	14.47	73.47	85.00	91.22	90.20	1.51	9.67	14.47	73.47	0.860153257	0.848048581	1	0.614554594	0.52319418	0.821269587	0.960534324	0.860153257	0.820867725	0.768332697	0.816451226	1
Spain	63.20	95.79	86.00	0.84	12.31	15.56	58.07	63.20	95.79	86.00	0.84	12.31	15.56	58.07	0.442528736	0.948843318	0.857627119	0	0.390506234	0.747913528	0.570912229	0.442528736	0.602156812	0.56977733	0.538154293	13
Estonia	61.10	52.77	85.10	1.93	17.62	19.58	58.69	61.10	52.77	85.10	1.93	17.62	19.58	58.69	0.402298851	0	0.827118644	1	0.123979508	0.477587414	0.58658247	0.402298851	0.609039548	0.396049797	0.469129399	20
Finland	78.60	91.78	80.00	1.32	19.11	21.46	75.02	78.60	91.78	80.00	1.32	19.11	21.46	75.02	0.737547893	0.860579513	0.654237288	0.435699107	0.048822075	0.350689063	1	0.737547893	0.650171969	0.466503713	0.618074525	10
France	68.40	94.14	74.30	1.21	0.18	15.88	47.93	68.40	94.14	74.30	1.21	0.18	15.88	47.93	0.542145594	0.912475167	0.461016949	0.33732663	1	0.725916071	0.314103564	0.542145594	0.570272915	0.680006545	0.597475018	11
United Kingdom	92.30	98.11	72.30	1.00	10.60	21.47	71.39	92.30	98.11	72.30	1.00	10.60	21.47	71.39	1	1	0.393220339	0.140821503	0.476258324	0.349999318	0.908062245	1	0.511347281	0.578106629	0.696484637	5
