"Country"	"variable"	"value"
"Australia"	"6_1_1"	NA
"Austria"	"6_1_1"	52.4
"Belgium"	"6_1_1"	75.9
"Canada"	"6_1_1"	NA
"Switzerland"	"6_1_1"	NA
"Chile"	"6_1_1"	NA
"Czech Republic"	"6_1_1"	71.3
"Germany"	"6_1_1"	62.8
"Denmark"	"6_1_1"	85
"Spain"	"6_1_1"	63.2
"Estonia"	"6_1_1"	61.1
"Finland"	"6_1_1"	78.6
"France"	"6_1_1"	68.4
"United Kingdom"	"6_1_1"	92.3
"Greece"	"6_1_1"	64.3
"Hungary"	"6_1_1"	91.8
"Ireland"	"6_1_1"	75.7
"Israel"	"6_1_1"	NA
"Italy"	"6_1_1"	81.2
"Japan"	"6_1_1"	NA
"Korea"	"6_1_1"	NA
"Lithuania"	"6_1_1"	62.5
"Luxembourg"	"6_1_1"	72.5
"Latvia"	"6_1_1"	46.6
"Netherlands"	"6_1_1"	71.3
"Norway"	"6_1_1"	70.9
"New Zealand"	"6_1_1"	NA
"Poland"	"6_1_1"	40.1
"Portugal"	"6_1_1"	79.3
"Slovak Republic"	"6_1_1"	54
"Slovenia"	"6_1_1"	71.4
"Sweden"	"6_1_1"	72.9
"Turkey"	"6_1_1"	NA
"United States"	"6_1_1"	NA
"Australia"	"6_2_1"	NA
"Austria"	"6_2_1"	94.08
"Belgium"	"6_2_1"	76.87
"Canada"	"6_2_1"	NA
"Switzerland"	"6_2_1"	NA
"Chile"	"6_2_1"	NA
"Czech Republic"	"6_2_1"	63.64
"Germany"	"6_2_1"	84.41
"Denmark"	"6_2_1"	91.22
"Spain"	"6_2_1"	95.79
"Estonia"	"6_2_1"	52.77
"Finland"	"6_2_1"	91.78
"France"	"6_2_1"	94.14
"United Kingdom"	"6_2_1"	98.11
"Greece"	"6_2_1"	67.42
"Hungary"	"6_2_1"	79.61
"Ireland"	"6_2_1"	82.47
"Israel"	"6_2_1"	NA
"Italy"	"6_2_1"	83.32
"Japan"	"6_2_1"	NA
"Korea"	"6_2_1"	NA
"Lithuania"	"6_2_1"	83.79
"Luxembourg"	"6_2_1"	85.79
"Latvia"	"6_2_1"	77.6
"Netherlands"	"6_2_1"	86.96
