Country	2_1_1	2_1_2	2_1_1	2_2_2	2_2_3	2_3_1	2_3_2	2_1_1_adj	2_1_2_adj	2_1_1_adj	2_2_2_adj	2_2_3_adj	2_3_1_adj	2_3_2_adj	2_1_1_norm	2_1_2_norm	2_1_1_norm	2_2_2_norm	2_2_3_norm	2_3_1_norm	2_3_2_norm	GOV	EMPL	IND	Total	Ranking
Australia	0.01	1.00	78.1			16.8	18.3	0.01	1.00	78.09			16.80	18.28	0.003378378	0.082123511	0.799544272			0.193065115	0.483072814	0.042750944		0.338068965	0.190409955	30
Austria	0.46	2.82	81.9	41.1	8.6	25.5	11.5	0.46	2.82	81.90	41.07	8.57	25.47	11.51	0.763513514	0.392751877	0.87224011	0.410719151	0.296875	0.447498452	0.754334465	0.578132695	0.52661142	0.600916458	0.568553525	4
Belgium	0.16	1.17	86.3	20.9	12.4	21.5	5.4	0.16	1.17	86.29	20.85	12.38	21.45	5.38	0.256756757	0.111554379	0.956050277	0.78808581	0.627604167	0.329723044	1	0.184155568	0.790580084	0.664861522	0.546532392	6
Canada	0.07	4.37	78.6				19.3	0.07	4.37	78.63				19.30	0.10472973	0.658866932	0.809835557				0.442181186	0.381798331		0.442181186	0.411989758	20
Switzerland	0.18	3.73				23.6		0.18	3.73				23.58		0.290540541	0.548967595				0.392194344		0.419754068		0.392194344	0.405974206	22
Chile	0.08		63.7				15.7	0.08		63.74				15.65	0.121621622		0.525633935				0.58829325	0.121621622		0.58829325	0.354957436	24
Czech Republic	0.01	4.08	83.7	9.5	5.4	17.0	14.6	0.01	4.08	83.68	9.50	5.38	16.99	14.65	0.001689189	0.608690828	0.906255295	1	0.019965278	0.198514379	0.628560582	0.305190008	0.642073524	0.41353748	0.453600338	11
Germany	0.19	1.45	84.5	31.0	8.7	19.2	9.6	0.19	1.45	84.52	30.95	8.68	19.17	9.60	0.307432432	0.160134419	0.922308112	0.599596553	0.306423611	0.262688161	0.831092586	0.233783426	0.609442759	0.546890374	0.463372186	9
Denmark	0.60	4.62	87.8	23.7	9.5	15.8	13.9	0.60	4.62	87.75	23.73	9.49	15.79	13.90	1	0.700417539	0.983960493	0.734340769	0.376736111	0.163267085	0.6586761	0.850208769	0.698345791	0.410971593	0.653175384	1
Spain	0.12	1.57	74.5	46.8	11.3	25.8	10.3	0.12	1.57	74.52	46.81	11.29	25.83	10.32	0.189189189	0.18045906	0.731349292	0.303611616	0.532986111	0.458191577	0.801921338	0.184824125	0.522649007	0.630056458	0.445843196	13
