Country	7_1_1	7_1_2	7_2_1	7_2_2	7_1_1_adj	7_1_2_adj	7_2_1_adj	7_2_2_adj	7_1_1_norm	7_1_2_norm	7_2_1_norm	7_2_2_norm	FL	CG	Total	Ranking
Australia	11.0	11.2			11.0	11.2			0.60164626	0.129326949			0.365486604		0.365486604	27
Austria	14.2	11.0	37.5	53.9	14.2	11.0	37.5	53.9	0.4332597	0.123865024	0.785	0.917662954	0.278562362	0.851331477	0.564946919	9
Belgium	18.0	9.9	18.7	35.1	18.0	9.9	18.7	35.1	0.228550053	0.095757906	0.315	0.549431362	0.162153979	0.432215681	0.29718483	30
Canada	11.9	17.9			11.9	17.9			0.551836695	0.306057953			0.428947324		0.428947324	20
Switzerland			34.7	23.1			34.7	23.1			0.715	0.314235831		0.514617916	0.514617916	11
Chile	12.1	29.2			12.1	29.2			0.544684446	0.60149276			0.573088603		0.573088603	7
Czech Republic	6.9	9.3	16.8	23.8	6.9	9.3	16.8	23.8	0.823396257	0.08162477	0.2675	0.327180073	0.452510514	0.297340037	0.374925275	25
Germany	13.8	11.2	18.9	24.0	13.8	11.2	18.9	24.0	0.45520045	0.129932834	0.32	0.331715791	0.292566642	0.325857895	0.309212269	29
Denmark	9.8	20.9	46.1	43.2	9.8	20.9	46.1	43.2	0.668117056	0.383456253	1	0.707993647	0.525786655	0.853996824	0.689891739	4
Spain	8.2	34.7	30.8	29.9	8.2	34.7	30.8	29.9	0.752015675	0.74562693	0.6175	0.447684823	0.748821303	0.532592411	0.640706857	5
Estonia	15.4	15.2	30.3		15.4	15.2	30.3		0.368735413	0.236251679	0.605		0.302493546	0.605	0.453746773	17
Finland	21.0	20.3	42.4	41.1	21.0	20.3	42.4	41.1	0.070718594	0.367808442	0.9075	0.66568059	0.219263518	0.786590295	0.502926906	13
France	3.6	6.2	27.4	32.7	3.6	6.2	27.4	32.7	1	0	0.5325	0.501502717	0.5	0.517001358	0.508500679	12
United Kingdom	8.5	14.4	26.7	33.2	8.5	14.4	26.7	33.2	0.734114271	0.213910035	0.515	0.511539686	0.474012153	0.513269843	0.493640998	14
Greece	10.9	16.1	8.6	7.1	10.9	16.1	8.6	7.1	0.605289542	0.25857217	0.0625	0	0.431930856	0.03125	0.231590428	31
Hungary			12.2	8.8			12.2	8.8			0.1525	0.033164456		0.092832228	0.092832228	34
Ireland	9.9	10.8	20.4		9.9	10.8	20.4		0.658458407	0.118529801	0.3575		0.388494104	0.3575	0.372997052	26
Israel	11.4	18.7			11.4	18.7			0.582392162	0.326255342			0.454323752		0.454323752	16
Italy	5.3	24.7	14.3		5.3	24.7	14.3		0.906303406	0.484008098	0.205		0.695155752	0.205	0.450077876	18
Japan	22.3	13.8			22.3	13.8			0	0.197873457			0.098936728		0.098936728	33
Korea	16.0	38.6			16.0	38.6			0.334044667	0.848089958			0.591067313		0.591067313	6
Lithuania	12.5	44.3	9.9	8.5	12.5	44.3	9.9	8.5	0.522753002	1	0.095	0.027555398	0.761376501	0.061277699	0.4113271	22
Luxembourg			38.0	46.3			38.0	46.3			0.7975	0.768122893		0.782811447	0.782811447	1
Latvia			24.9	23.0			24.9	23.0			0.47	0.311484819		0.390742409	0.390742409	24
Netherlands	8.5	22.3	40.1	49.0	8.5	22.3	40.1	49.0	0.734071991	0.420325039	0.85	0.821103972	0.577198515	0.835551986	0.706375251	2
Norway	9.1	8.9	35.5	36.2	9.1	8.9	35.5	36.2	0.701896395	0.070356336	0.735	0.570560787	0.386126365	0.652780394	0.519453379	10
New Zealand	10.8	16.6			10.8	16.6			0.61287731	0.273124648			0.443000979		0.443000979	19
Poland	13.1	43.7	13.6	15.8	13.1	43.7	13.6	15.8	0.491568519	0.982771826	0.1875	0.170994005	0.737170173	0.179247002	0.458208588	15
Portugal			25.6	25.5			25.6	25.5			0.4875	0.360839995		0.424169997	0.424169997	21
Slovak Republic	8.6	10.1	21.1	17.8	8.6	10.1	21.1	17.8	0.730898194	0.10114822	0.375	0.210519041	0.416023207	0.29275952	0.354391364	28
Slovenia	14.0	8.1	37.3	24.4	14.0	8.1	37.3	24.4	0.443222774	0.049480492	0.78	0.339257492	0.246351633	0.559628746	0.402990189	23
Sweden	11.9	23.7	38.6	58.2	11.9	23.7	38.6	58.2	0.552536389	0.458483209	0.8125	1	0.505509799	0.90625	0.705879899	3
Turkey	16.1	16.2	6.1		16.1	16.2	6.1		0.329389988	0.262397859	0		0.295893923	0	0.147946962	32
United States	11.3	27.4			11.3	27.4			0.586283352	0.556300084			0.571291718		0.571291718	8
