Country	4_1_1	4_1_2	4_1_3	4_1_4	4_2_1	4_2_2	4_2_3	4_2_4	4_1_1_adj	4_1_2_adj	4_1_3_adj	4_1_4_adj	4_2_1_adj	4_2_2_adj	4_2_3_adj	4_2_4_adj	4_1_1_norm	4_1_2_norm	4_1_3_norm	4_1_4_norm	4_2_1_norm	4_2_2_norm	4_2_3_norm	4_2_4_norm	SD	EC	Total	Ranking
Australia	20.7	5.0	28.4	18.0	15.7		6.4	17.9	20.7	5.0	28.4	18.0	15.7		6.4	17.9	0.440387834	0.313427089	0.805470103	0.387924511	0.354418333		0.444085153	0.543104901	0.486802384	0.447202796	0.46700259	13
Austria	32.1	6.5	23.8	19.3	7.1	-3.4	-4.6	10.4	32.1	6.5	23.8	19.3	7.1	3.4	4.6	10.4	1	0.407304477	0.596190266	0.457966613	0.004695647	0	0.317960253	0.288722216	0.615365339	0.152844529	0.384104934	4
Belgium	28.2	6.3	25.9	22.8	7.0	15.6	13.5	10.2	28.2	6.3	25.9	22.8	7.0	15.6	13.5	10.2	0.809694595	0.397207927	0.691905916	0.636737737	0	0.340187124	0.934125714	0.283880901	0.633886544	0.389548435	0.511717489	14
Canada	22.9	4.6	27.8	25.0	17.1	26.7	6.7	16.0	22.9	4.6	27.8	25.0	17.1	26.7	6.7	16.0	0.545990116	0.285795457	0.776848169	0.751505437	0.411456085	0.648774585	0.462461276	0.47773587	0.590034795	0.500106954	0.545070874	18
Switzerland																												
Chile	19.6	14.0	27.9	24.5	8.7	34.6	9.4	27.1	19.6	14.0	27.9	24.5	8.7	34.6	9.4	27.1	0.385499348	0.891533303	0.783777482	0.724522637	0.072329452	0.869583837	0.652933428	0.853663273	0.696333192	0.612127497	0.654230345	27
Czech Republic	24.9	12.0	16.2	22.9	25.9	32.3	6.2	14.9	24.9	12.0	16.2	22.9	25.9	32.3	6.2	14.9	0.647928509	0.766957605	0.248339169	0.642330504	0.769246027	0.806898688	0.429899582	0.441027328	0.576388947	0.611767906	0.594078426	24
Germany	22.6	10.1	30.3	25.6	21.3	27.0	4.9	18.9	22.6	10.1	30.3	25.6	21.3	27.0	4.9	18.9	0.532953624	0.639654496	0.890396545	0.7807781	0.583137268	0.657744994	0.33741163	0.576182155	0.710945691	0.538619011	0.624782351	26
Denmark	27.2	-0.7	29.5	10.8	16.4	16.2	-2.2	14.1	27.2	0.7	29.5	10.8	16.4	16.2	2.2	14.1	0.760162858	0.036068554	0.857447311	0.014984372	0.382511323	0.35582773	0.151507341	0.414035244	0.417165774	0.325970409	0.371568092	3
Spain	23.9	5.3	21.2	25.4	19.8	25.5	8.7	21.9	23.9	5.3	21.2	25.4	19.8	25.5	8.7	21.9	0.595240088	0.331139206	0.476437028	0.773512079	0.520183852	0.615772292	0.599589426	0.677807289	0.5440821	0.603338215	0.573710157	22
Estonia	18.3	-4.0	19.7	21.1	31.6	39.2	8.0	11.2	18.3	4.0	19.7	21.1	31.6	39.2	8.0	11.2	0.320642713	0.250404671	0.408764822	0.547404049	1	1	0.552035825	0.316975974	0.381804064	0.71725295	0.549528507	20
Finland	28.5	0.1	32.7	29.8	17.4	32.4	7.0	9.6	28.5	0.1	32.7	29.8	17.4	32.4	7.0	9.6	0.822330434	0	1	1	0.425569907	0.81003987	0.484183966	0.263317392	0.705582608	0.495777784	0.600680196	25
France	25.4	3.3	20.5	17.3	15.1	24.3	9.0	13.2	25.4	3.3	20.5	17.3	15.1	24.3	9.0	13.2	0.672953818	0.205493611	0.448370851	0.349355101	0.330197554	0.582770165	0.622043776	0.383327907	0.419043345	0.47958485	0.449314098	12
United Kingdom	22.2	5.7	24.2	23.5	21.8	30.4	3.0	13.7	22.2	5.7	24.2	23.5	21.8	30.4	3.0	13.7	0.513367897	0.361748326	0.6135374	0.674016103	0.601427246	0.752275114	0.20870761	0.401320851	0.540667432	0.490932705	0.515800068	16
Greece	14.6	3.9	10.7	10.5	9.7	13.3	-4.2	12.3	14.6	3.9	10.7	10.5	9.7	13.3	4.2	12.3	0.137432851	0.24183752	0	0	0.11025058	0.275184585	0.291851943	0.354588689	0.094817593	0.257968949	0.176393271	1
Hungary																												
Ireland	20.1	6.5	24.6	25.2	21.1	28.8	-0.1	19.4	20.1	6.5	24.6	25.2	21.1	28.8	0.1	19.4	0.409378948	0.409943851	0.633912898	0.762285415	0.574994934	0.709663885	0.002978358	0.595318981	0.553880278	0.470739039	0.512309659	15
Israel	11.8	2.7	23.9	23.6	18.5	36.8	0.0	15.7	11.8	2.7	23.9	23.6	18.5	36.8	0.0	15.7	0	0.167423853	0.599061199	0.681129828	0.466826014	0.931152219	0	0.469470961	0.36190372	0.466862298	0.414383009	8
Italy	15.6	5.7	13.6	19.3	17.8	23.1	11.0	12.6	15.6	5.7	13.6	19.3	17.8	23.1	11.0	12.6	0.185882803	0.358125074	0.131684358	0.456277821	0.439549256	0.55041453	0.763881798	0.363447889	0.282992514	0.529323368	0.406157941	6
Japan	18.4	15.6	22.4	28.6	18.3	8.7	8.5	16.1	18.4	15.6	22.4	28.6	18.3	8.7	8.5	16.1	0.32704207	1	0.532535724	0.939575086	0.461002259	0.146462571	0.591841518	0.481877586	0.69978822	0.420295984	0.560042102	21
Korea	22.4	14.6	26.0	25.2	13.0	15.3	5.9	24.6	22.4	14.6	26.0	25.2	13.0	15.3	5.9	24.6	0.524813747	0.932198607	0.698670334	0.759908659	0.246783557	0.331718686	0.4099836	0.76806669	0.728897837	0.439138133	0.584017985	23
