Country	2_1_1	2_1_2	2_2_1	2_2_2	2_2_3	2_2_4	2_3_1	2_3_2	2_1_1_outliers_adjusted	2_1_2_outliers_adjusted	2_2_1_outliers_adjusted	2_2_2_outliers_adjusted	2_2_3_outliers_adjusted	2_2_4_outliers_adjusted	2_3_1_outliers_adjusted	2_3_2_outliers_adjusted	2_1_1_normalised	2_1_2_normalised	2_2_1_normalised	2_2_2_normalised	2_2_3_normalised	2_2_4_normalised	2_3_1_normalised	2_3_2_normalised	GOV	EMPL	IND	Tot_financing	Ranking
Australia	0.01	0.01		78.1				18.3	0.01	0.01	0.00	78.09			0.00	18.28	0.003378378	0.082123511		0.799544272				0.483072814	0.042750944		0.483072814	0.13145594	29
Austria	0.46	0.03		81.9	41.1	8.6		11.5	0.46	0.03	0.00	81.90	41.07	8.57	0.00	11.51	0.763513514	0.392751877		0.87224011	0.410719151	0.703125		0.754334465	0.578132695	0.662028087	0.754334465	0.332415875	7
Belgium	0.16	0.01			20.9	12.4		5.4	0.16	0.01	0.00		20.85	12.38	0.00	5.38	0.256756757	0.111554379			0.78808581	0.372395833		1	0.184155568	0.580240822	1	0.352879278	5
Canada	0.07	0.04		78.6				19.3	0.07	0.04	0.00	78.63			0.00	19.30	0.10472973	0.658866932		0.809835557				0.442181186	0.381798331		0.442181186	0.205994879	20
Switzerland	0.18	0.04							0.18	0.04	0.00				0.00		0.290540541	0.548967595							0.419754068				
Chile	0.08			63.7				15.7	0.08		0.00	63.74			0.00	15.65	0.121621622			0.525633935				0.58829325	0.121621622		0.58829325	0.23663829	18
Czechia	0.01	0.04			9.5	5.4		14.6	0.01	0.04	0.00		9.50	5.38	0.00	14.65	0.001689189	0.608690828			1	0.980034722		0.628560582	0.305190008	0.990017361	0.628560582	0.38475359	2
Germany	0.19	0.01		84.5	31.0	8.7		9.6	0.19	0.01	0.00	84.52	30.95	8.68	0.00	9.60	0.307432432	0.160134419		0.922308112	0.599596553	0.693576389		0.831092586	0.233783426	0.738493685	0.831092586	0.300561616	8
Denmark	0.60	0.05		87.8	23.7	9.5		13.9	0.60	0.05	0.00	87.75	23.73	9.49	0.00	13.90	1	0.700417539		0.983960493	0.734340769	0.623263889		0.6586761	0.850208769	0.780521717	0.6586761	0.381567764	4
Spain	0.12	0.02		74.5	46.8	11.3		10.3	0.12	0.02	0.00	74.52	46.81	11.29	0.00	10.32	0.189189189	0.18045906		0.731349292	0.303611616	0.467013889		0.801921338	0.184824125	0.500658266	0.801921338	0.247900621	14
Estonia	0.08	0.03		82.0	29.1	11.7		18.7	0.08	0.03	0.00	81.96	29.12	11.74	0.00	18.67	0.119932432	0.497852371		0.873288623	0.633803711	0.427951389		0.467365343	0.308892402	0.645014574	0.467365343	0.23687872	17
Finland	0.48	0.03		85.5	40.7	7.4		6.6	0.48	0.03	0.00	85.50	40.73	7.43	0.00	6.58	0.788851351	0.461862185		0.941012528	0.417125412	0.802083333		0.951895478	0.625356768	0.720073758	0.951895478	0.382887667	3
France	0.37	0.04		88.1	51.8	16.7		18.2	0.37	0.04	0.00	88.07	51.77	16.67	0.00	18.23	0.611486486	0.518429391		0.989941806	0.211098712	0		0.48502204	0.564957939	0.400346839	0.48502204	0.241721136	16
United Kingdom	0.02				29.0	10.4		19.9	0.02		0.00		29.04	10.35	0.00	19.95	0.015202703				0.635266719	0.548611111		0.416115175	0.015202703	0.591938915	0.416115175	0.255814198	13
Greece	0.09	0.06		36.2	29.8	6.8		30.3	0.09	0.06	0.00	36.20	29.75	6.80	0.00	30.33	0.138513514	1		0	0.621950355	0.856770833		0	0.569256757	0.492907063	0	0.177027303	26
Hungary	0.01	0.01			31.0	5.2			0.01	0.01	0.00		31.04	5.15	0.00		0.003378378	0			0.598004785	1			0.001689189	0.799002392		0.200172895	21
Ireland	0.23	0.02		71.9	31.3	9.4		20.7	0.23	0.02	0.00	71.94	31.29	9.37	0.00	20.74	0.375	0.269812355		0.682109567	0.593373168	0.633680556		0.384392266	0.322406178	0.636387763	0.384392266	0.223864368	19
Israel	0.06	0.01		75.0				24.2	0.06	0.01	0.00	75.03			0.00	24.23	0.087837838	0.046956469		0.741056086				0.244515167	0.067397154		0.244515167	0.07797808	30
Italy	0.17	0.01		83.4	13.2	8.6		15.0	0.17	0.01	0.00	83.42	13.24	8.55	0.00	15.03	0.273648649	0.089191154		0.901259928	0.930133873	0.704861111		0.613404537	0.181419902	0.845418304	0.613404537	0.27337379	11
Japan	0.01			80.5				8.4	0.01		0.00	80.45			0.00	8.45	0.003378378			0.844626234				0.87709593	0.003378378		0.87709593	0.293491436	9
Republic of Korea	0.04								0.04		0.00				0.00		0.054054054								0.054054054				
Lithuania	0.07	0.04		79.6	63.1	9.9		24.6	0.07	0.04	0.00	79.56	63.08	9.87	0.00	24.58	0.108108108	0.595129419		0.827625467	0	0.590277778		0.230590932	0.351618763	0.472634415	0.230590932	0.175807352	27
Luxembourg	0.18	0.02			14.6	16.5			0.18	0.02	0.00		14.64	16.52	0.00		0.297297297	0.286099644			0.904094558	0.013020833			0.291698471	0.458557696		0.187564042	24
Latvia	0.08	0.03				10.6			0.08	0.03	0.00			10.59	0.00		0.123310811	0.386483292				0.527777778			0.254897051				
