Country	3_1_1	3_1_2	3_1_3	3_2_1	3_2_2	3_2_3	3_2_4	3_1_1_outliers_adjusted	3_1_2_outliers_adjusted	3_1_3_outliers_adjusted	3_2_1_outliers_adjusted	3_2_2_outliers_adjusted	3_2_3_outliers_adjusted	3_2_4_outliers_adjusted	3_1_1_normalised	3_1_2_normalised	3_1_3_normalised	3_2_1_normalised	3_2_2_normalised	3_2_3_normalised	3_2_4_normalised	EMP	IND	Tot_Participation	Ranking
Australia				48.4	36.0	71.6					48.4	36.0	71.6	0.0				0.771589923	0.75	0.8431236			0.788237841	0.788237841	2
Austria	88.1	36.6	8.6	39.8	40.0	63.1		88.1	36.6	8.6	39.8	40.0	63.1	0.0	0.849104859	0.273597811	0.198725871	0.565930157	0.916666667	0.609139488		0.440476181	0.697245437	0.568860809	16
Belgium	83.9	49.4	34.2	39.0	24.0	64.0		83.9	49.4	34.2	39.0	24.0	64.0	0.0	0.795396419	0.44870041	0.460705064	0.545906002	0.25	0.633258171		0.568267298	0.476388058	0.522327678	18
Canada				48.7	32.0	71.1					48.7	32.0	71.1	0.0				0.777565237	0.583333333	0.829342522			0.730080364	0.730080364	5
Switzerland														0.0											
Chile	63.8			39.4	24.0	77.4		63.8			39.4	24.0	77.4	0.0	0.538746803			0.555016827	0.25	1			0.601672276	0.601672276	14
Czechia	90.6	89.7	25.8	42.2	25.0	60.7		90.6	89.7	25.8	42.2	25.0	60.7	0.0	0.881074169	1	0.374704079	0.621233187	0.291666667	0.542356149		0.751926083	0.485085334	0.618505709	12
Germany	77.3	38.3	11.2	45.7	32.0	61.6		77.3	38.3	11.2	45.7	32.0	61.6	0.0	0.710997442	0.296853625	0.225239227	0.70585219	0.583333333	0.56887623		0.411030098	0.619353918	0.515192008	19
Denmark	86.6	27.2	1.5	58.0	42.0	65.3		86.6	27.2	1.5	58.0	42.0	65.3	0.0	0.829923274	0.14500684	0.126017667	1	1	0.669077538		0.366982594	0.889692513	0.628337553	10
Spain	86.0	39.7	82.6	35.3	31.0	73.7		86.0	39.7	82.6	35.3	31.0	73.7	0.0	0.822250639	0.316005472	0.955332464	0.457997746	0.541666667	0.900941723		0.697862859	0.633535379	0.665699119	9
Estonia	86.1	20.9	29.3	41.7	32.0	61.8		86.1	20.9	29.3	41.7	32.0	61.8	0.0	0.823529412	0.058823529	0.409956428	0.609669655	0.583333333	0.573486095		0.43076979	0.588829694	0.509799742	22
Finland	83.1	44.3	8.3	55.3	32.0	71.1		83.1	44.3	8.3	55.3	32.0	71.1	0.0	0.78516624	0.378932969	0.195788595	0.935745948	0.583333333	0.82896614		0.453295935	0.782681807	0.617988871	13
France	78.9	31.7	6.9	31.6	32.0	67.6		78.9	31.7	6.9	31.6	32.0	67.6	0.0	0.731457801	0.206566347	0.181122436	0.367581068	0.583333333	0.731631315		0.373048861	0.560848572	0.466948717	25
United Kingdom	85.7	31.7	-5.2	48.7	32.0	65.4		85.7	31.7	-5.2	48.7	32.0	65.4	0.0	0.818414322	0.206566347		0.777525857	0.583333333	0.671515528		0.512490335	0.677458239	0.594974287	15
Greece	21.7	21.3	3.3	16.2	32.0	60.8		21.7	21.3	3.3	16.2	32.0	60.8	0.0	0	0.064295486	0.14452698	0.000999025	0.583333333	0.547436656		0.069607489	0.377256338	0.223431913	30
Hungary	43.8	18.9	-10.8					43.8	18.9	-10.8				0.0	0.282608696	0.031463748						0.157036222		0.157036222	31
Ireland	77.4	37.5	15.7	43.0	30.0	63.3		77.4	37.5	15.7	43.0	30.0	63.3	0.0	0.712276215	0.285909713	0.270988672	0.642535346	0.5	0.615215186		0.4230582	0.585916844	0.504487522	23
Israel				38.8	37.5	65.3					38.8	37.5	65.3	0.0				0.541892353	0.8125	0.668250118			0.674214157	0.674214157	6
Italy	60.2	46.5	87.0	20.1	30.0	61.4		60.2	46.5	87.0	20.1	30.0	61.4	0.0	0.492327366	0.409028728	1	0.094011306	0.5	0.564013482		0.633785364	0.386008263	0.509896814	21
Japan	79.0			35.2	24.0	61.0		79.0			35.2	24.0	61.0	0.0	0.732736573			0.454091609	0.25	0.552381573			0.418824394	0.418824394	27
Republic of Korea														0.0											
Lithuania	61.6	21.8	32.8	27.4	32.0	40.9		61.6	21.8	32.8	27.4	32.0	40.9	0.0	0.510230179	0.071135431	0.445550415	0.268772253	0.583333333	0		0.342305342	0.284035196	0.313170269	28
Luxembourg	77.1	47.8	7.4					77.1	47.8	7.4				0.0	0.708439898	0.426812585	0.185941285					0.440397923		0.440397923	26
Latvia	99.9	16.6	174.5					99.9	16.6	87.0				0.0	1	0	1					0.666666667		0.666666667	8
Netherlands	85.0	38.0	13.8	52.9	32.0	60.7		85.0	38.0	13.8	52.9	32.0	60.7	0.0	0.809462916	0.292749658	0.251484181	0.878439804	0.583333333	0.542438483		0.451232251	0.66807054	0.559651396	17
Norway	99.1	52.4	15.2	56.0		75.3		99.1	52.4	15.2	56.0		75.3	0.0	0.989769821	0.489740082	0.26625716	0.952265545		0.943909575		0.581922354	0.94808756	0.765004957	3
New Zealand				57.4	32.0	73.3					57.4	32.0	73.3	0.0				0.985013095	0.583333333	0.888878869			0.819075099	0.819075099	1
Poland	44.7	34.5	28.4	28.7	23.0	50.5		44.7	34.5	28.4	28.7	23.0	50.5	0.0	0.294117647	0.244870041	0.401455186	0.30004868	0.208333333	0.264454735		0.313480958	0.257612249	0.285546604	29
Portugal	75.0	42.6	70.1					75.0	42.6	70.1				0.0	0.681585678	0.355677155	0.827229125					0.621497319		0.621497319	11
Slovakia	70.0	58.7	15.9					70.0	58.7	15.9				0.0	0.617647059	0.575923393	0.273024179					0.488864877		0.488864877	24
Slovenia	84.1	51.1	15.4	36.5	28.0	64.4		84.1	51.1	15.4	36.5	28.0	64.4	0.0	0.797953964	0.471956224	0.267596827	0.485323304	0.416666667	0.646204805		0.512502338	0.516064925	0.514283632	20
Sweden	93.1	50.0	18.8	52.5	35.3	68.2		93.1	50.0	18.8	52.5	35.3	68.2	0.0	0.913043478	0.456908345	0.302240919	0.867742067	0.71875	0.750318267		0.557397581	0.778936778	0.668167179	7
Turkey				16.2	18.0	43.0					16.2	18.0	43.0	0.0				0	0	0.059351995			0.019783998	0.019783998	32
United States of America				50.5	30.0	74.6					50.5	30.0	74.6	0.0				0.822083494	0.5	0.92336538			0.748482958	0.748482958	4
