Country	7_1_1	7_1_2	7_2_1	7_2_2	7_1_1_adj	7_1_2_adj	7_2_1_adj	7_2_2_adj	7_1_1_norm	7_1_2_norm	7_2_1_norm	7_2_2_norm	FL	CG	Flexiguidance	Flexiguidance_Ranking						
Australia	11.0	11.2			11.0	11.2		0.0	0.60164626	0.129326949			0.365486604		0.365486604	26						
Austria	14.2	11.0	37.5		14.2	11.0	37.5	0.0	0.4332597	0.123865024	0.785		0.278562362	0.785	0.531781181	11						
Belgium	18.0	9.9	18.7		18.0	9.9	18.7	0.0	0.228550053	0.095757906	0.315		0.162153979	0.315	0.23857699	30						
Canada	11.9	17.9			11.9	17.9		0.0	0.551836695	0.306057953			0.428947324		0.428947324	22						
Switzerland			34.7				34.7	0.0			0.715			0.715	0.715	3						
Chile	12.1	29.2			12.1	29.2		0.0	0.544684446	0.60149276			0.573088603		0.573088603	8						
Czech Republic			16.8				16.8	0.0			0.2675			0.2675	0.2675	28						
Germany	13.8	11.2	18.9		13.8	11.2	18.9	0.0	0.45520045	0.129932834	0.32		0.292566642	0.32	0.306283321	27						
Denmark	9.8	20.9	46.1		9.8	20.9	46.1	0.0	0.668117056	0.383456253	1		0.525786655	1	0.762893327	2						
Spain	8.2	34.7	30.8		8.2	34.7	30.8	0.0	0.752015675	0.74562693	0.6175		0.748821303	0.6175	0.683160651	5						
Estonia	15.4	15.2	30.3		15.4	15.2	30.3	0.0	0.368735413	0.236251679	0.605		0.302493546	0.605	0.453746773	19						
Finland	21.0	20.3	42.4		21.0	20.3	42.4	0.0	0.070718594	0.367808442	0.9075		0.219263518	0.9075	0.563381759	9						
France	3.6	6.2	27.4		3.6	6.2	27.4	0.0	1	0	0.5325		0.5	0.5325	0.51625	12						
United Kingdom	8.5	14.4	26.7		8.5	14.4	26.7	0.0	0.734114271	0.213910035	0.515		0.474012153	0.515	0.494506076	14						
Greece	10.9	16.1	8.6		10.9	16.1	8.6	0.0	0.605289542	0.25857217	0.0625		0.431930856	0.0625	0.247215428	29						
Hungary			12.2				12.2	0.0			0.1525			0.1525	0.1525	31						
Ireland	9.9	10.8	20.4		9.9	10.8	20.4	0.0	0.658458407	0.118529801	0.3575		0.388494104	0.3575	0.372997052	25						
Israel	11.4	18.7			11.4	18.7		0.0	0.582392162	0.326255342			0.454323752		0.454323752	18						
Italy	5.3	24.7	14.3		5.3	24.7	14.3	0.0	0.906303406	0.484008098	0.205		0.695155752	0.205	0.450077876	20						
Japan	22.3	13.8			22.3	13.8		0.0	0	0.197873457			0.098936728		0.098936728	33						
Korea	16.0	38.6			16.0	38.6		0.0	0.334044667	0.848089958			0.591067313		0.591067313	7						
Lithuania	12.5	44.3	9.9		12.5	44.3	9.9	0.0	0.522753002	1	0.095		0.761376501	0.095	0.428188251	23						
Luxembourg			38.0				38.0	0.0			0.7975			0.7975	0.7975	1						
Latvia			24.9				24.9	0.0			0.47			0.47	0.47	16						
Netherlands	8.5	22.3	40.1		8.5	22.3	40.1	0.0	0.734071991	0.420325039	0.85		0.577198515	0.85	0.713599258	4						
Norway	9.1	8.9	35.5		9.1	8.9	35.5	0.0	0.701896395	0.070356336	0.735		0.386126365	0.735	0.560563183	10						
New Zealand	10.8	16.6			10.8	16.6		0.0	0.61287731	0.273124648			0.443000979		0.443000979	21						
Poland	13.1	43.7	13.6		13.1	43.7	13.6	0.0	0.491568519	0.982771826	0.1875		0.737170173	0.1875	0.462335086	17						
Portugal			25.6				25.6	0.0			0.4875			0.4875	0.4875	15						
Slovak Republic	8.6	10.1	21.1		8.6	10.1	21.1	0.0	0.730898194	0.10114822	0.375		0.416023207	0.375	0.395511604	24						
Slovenia	14.0	8.1	37.3		14.0	8.1	37.3	0.0	0.443222774	0.049480492	0.78		0.246351633	0.78	0.513175817	13						
Sweden	11.9	23.7	38.6		11.9	23.7	38.6	0.0	0.552536389	0.458483209	0.8125		0.505509799	0.8125	0.659004899	6						
Turkey	16.1	16.2	6.1		16.1	16.2	6.1	0.0	0.329389988	0.262397859	0		0.295893923	0	0.147946962	32						
United States								0.0														
																						
																						
																						
																						
																						
																						
																						
																						
																						
