Country	7_1_1	7_1_2	7_2_1	7_2_2	7_1_1_outliers_adjusted	7_1_2_outliers_adjusted	7_2_1_outliers_adjusted	7_2_2_outliers_adjusted	7_1_1_normalised	7_1_2_normalised	7_2_1_normalised	7_2_2_normalised	FL	CG	Tot_guidance	Ranking
Australia	11.0	11.2			11.0	11.2		0.0	0.60164626	0.129326949			0.365486604		0.365486604	23
Austria	14.2	11.0	37.5		14.2	11.0	37.5	0.0	0.4332597	0.123865024	0.791891892		0.278562362	0.791891892	0.535227127	11
Belgium	18.0	9.9	18.7		18.0	9.9	18.7	0.0	0.228550053	0.095757906	0.283783784		0.162153979	0.283783784	0.222968882	29
Canada	11.9	17.9			11.9	17.9		0.0	0.551836695	0.306057953			0.428947324		0.428947324	21
Switzerland			34.7				34.7	0.0			0.716216216			0.716216216	0.716216216	4
Chile	12.1	29.2			12.1	29.2		0.0	0.544684446	0.60149276			0.573088603		0.573088603	7
Czechia	6.9	9.3	16.8		6.9	9.3	16.8	0.0	0.823396257	0.08162477	0.232432432		0.452510514	0.232432432	0.342471473	27
Germany	13.8	11.2	18.9		13.8	11.2	18.9	0.0	0.45520045	0.129932834	0.289189189		0.292566642	0.289189189	0.290877916	28
Denmark	9.8	20.9	45.2		9.8	20.9	45.2	0.0	0.668117056	0.383456253	1		0.525786655	1	0.762893327	2
Spain	8.2	34.7	30.8		8.2	34.7	30.8	0.0	0.752015675	0.74562693	0.610810811		0.748821303	0.610810811	0.679816057	5
Estonia	15.4	15.2	22.6		15.4	15.2	22.6	0.0	0.368735413	0.236251679	0.389189189		0.302493546	0.389189189	0.345841368	26
Finland	21.0	20.3	42.4		21.0	20.3	42.4	0.0	0.070718594	0.367808442	0.924324324		0.219263518	0.924324324	0.571793921	8
France	3.6	6.2	26.9		3.6	6.2	26.9	0.0	1	0	0.505405405		0.5	0.505405405	0.502702703	13
United Kingdom	8.5	14.4	26.7		8.5	14.4	26.7	0.0	0.734114271	0.213910035	0.5		0.474012153	0.5	0.487006076	14
Greece	10.9	16.1	8.6		10.9	16.1	8.6	0.0	0.605289542	0.25857217	0.010810811		0.431930856	0.010810811	0.221370833	30
Hungary			12.2				12.2	0.0			0.108108108			0.108108108	0.108108108	32
Ireland	9.9	10.8	20.4		9.9	10.8	20.4	0.0	0.658458407	0.118529801	0.32972973		0.388494104	0.32972973	0.359111917	24
Israel	11.4	18.7			11.4	18.7		0.0	0.582392162	0.326255342			0.454323752		0.454323752	16
Italy	5.3	24.7	14.3		5.3	24.7	14.3	0.0	0.906303406	0.484008098	0.164864865		0.695155752	0.164864865	0.430010308	20
Japan	22.3	13.8			22.3	13.8		0.0	0	0.197873457			0.098936728		0.098936728	33
Republic of Korea								0.0								
Lithuania	12.5	44.3	9.9		12.5	44.3	9.9	0.0	0.522753002	1	0.045945946		0.761376501	0.045945946	0.403661224	22
Luxembourg			38.0				38.0	0.0			0.805405405			0.805405405	0.805405405	1
Latvia			24.9				24.9	0.0			0.451351351			0.451351351	0.451351351	17
Netherlands	8.5	22.3	40.1		8.5	22.3	40.1	0.0	0.734071991	0.420325039	0.862162162		0.577198515	0.862162162	0.719680339	3
Norway	9.1	8.9	35.5		9.1	8.9	35.5	0.0	0.701896395	0.070356336	0.737837838		0.386126365	0.737837838	0.561982102	10
New Zealand	10.8	16.6			10.8	16.6		0.0	0.61287731	0.273124648			0.443000979		0.443000979	18
Poland	13.1	43.7	13.6		13.1	43.7	13.6	0.0	0.491568519	0.982771826	0.145945946		0.737170173	0.145945946	0.441558059	19
Portugal			25.6				25.6	0.0			0.47027027			0.47027027	0.47027027	15
Slovakia			21.1				21.1	0.0			0.348648649			0.348648649	0.348648649	25
Slovenia	14.0	8.1	37.3		14.0	8.1	37.3	0.0	0.443222774	0.049480492	0.786486486		0.246351633	0.786486486	0.51641906	12
Sweden	11.9	23.7	38.6		11.9	23.7	38.6	0.0	0.552536389	0.458483209	0.821621622		0.505509799	0.821621622	0.66356571	6
Turkey	16.1	16.2	8.2		16.1	16.2	8.2	0.0	0.329389988	0.262397859	0		0.295893923	0	0.147946962	31
United States of America	11.3	27.4			11.3	27.4		0.0	0.586283352	0.556300084			0.571291718		0.571291718	9
