Country	5_1_1	5_1_2	5_2_1	5_2_2	5_2_3	5_2_4	5_1_1_outliers_adjusted	5_1_2_outliers_adjusted	5_2_1_outliers_adjusted	5_2_2_outliers_adjusted	5_2_3_outliers_adjusted	5_2_4_outliers_adjusted	5_1_1_normalised	5_1_2_normalised	5_2_1_normalised	5_2_2_normalised	5_2_3_normalised	5_2_4_normalised	MC	UE	Tot_Quality	Ranking	
Australia			61.8					0.0	61.8	0.0	0.0	0.0			0.649959436								
Austria	35.9		55.5				35.9	0.0	55.5	0.0	0.0	0.0	0.098009188		0.542739961				0.098009188		0.098009188	20	Ranking: 1 - best position
Belgium	48.0		59.4				48.0	0.0	59.4	0.0	0.0	0.0	0.28330781		0.608942426				0.28330781		0.28330781	12	Ranking: 39 - worst position
Canada			61.5					0.0	61.5	0.0	0.0	0.0			0.643474487								
Switzerland								0.0		0.0	0.0	0.0											
Chile			64.4					0.0	64.4	0.0	0.0	0.0			0.694026232								
Czechia	46.3		53.7				46.3	0.0	53.7	0.0	0.0	0.0	0.257274119		0.511343393				0.257274119		0.257274119	14	
Germany	40.1		51.2				40.1	0.0	51.2	0.0	0.0	0.0	0.162327718		0.468373462				0.162327718		0.162327718	17	
Denmark	33.5		82.4				33.5	0.0	82.4	0.0	0.0	0.0	0.061255743		1				0.061255743		0.061255743	21	
Spain	51.8		48.1				51.8	0.0	48.1	0.0	0.0	0.0	0.341500766		0.415590958				0.341500766		0.341500766	8	
Estonia	45.7		34.3				45.7	0.0	34.3	0.0	0.0	0.0	0.248085758		0.181505535				0.248085758		0.248085758	16	
Finland	51.4		53.7				51.4	0.0	53.7	0.0	0.0	0.0	0.335375191		0.510799975				0.335375191		0.335375191	9	
France	94.8		48.8				94.8	0.0	48.8	0.0	0.0	0.0	1		0.42815152				1		1	1	
United Kingdom	66.3		62.2				66.3	0.0	62.2	0.0	0.0	0.0	0.563552833		0.655319559				0.563552833		0.563552833	4	
Greece	69.4		58.5				69.4	0.0	58.5	0.0	0.0	0.0	0.611026034		0.593489663				0.611026034		0.611026034	3	
Hungary	39.3						39.3	0.0		0.0	0.0	0.0	0.15007657						0.15007657		0.15007657	19	
Ireland	56.1		62.9				56.1	0.0	62.9	0.0	0.0	0.0	0.407350689		0.667552844				0.407350689		0.407350689	6	
Israel			41.1					0.0	41.1	0.0	0.0	0.0			0.29788997								
Italy	52.5		42.1				52.5	0.0	42.1	0.0	0.0	0.0	0.352220521		0.315099116				0.352220521		0.352220521	7	
Japan			23.6					0.0	23.6	0.0	0.0	0.0			0								
Republic of Korea								0.0		0.0	0.0	0.0											
Lithuania	46.1		42.3				46.1	0.0	42.3	0.0	0.0	0.0	0.254211332		0.317792196				0.254211332		0.254211332	15	
Luxembourg	50.0						50.0	0.0		0.0	0.0	0.0	0.313935681						0.313935681		0.313935681	10	
Latvia	29.5						29.5	0.0		0.0	0.0	0.0	0						0		0	23	
Netherlands	87.4		55.1				87.4	0.0	55.1	0.0	0.0	0.0	0.886676876		0.536138912				0.886676876		0.886676876	2	
Norway	48.3		60.5				48.3	0.0	60.5	0.0	0.0	0.0	0.287901991		0.627728335				0.287901991		0.287901991	11	
New Zealand			66.3					0.0	66.3	0.0	0.0	0.0			0.726298206								
Poland	32.3		55.1				32.3	0.0	55.1	0.0	0.0	0.0	0.04287902		0.534614425				0.04287902		0.04287902	22	
Portugal	57.0						57.0	0.0		0.0	0.0	0.0	0.421133231						0.421133231		0.421133231	5	
Slovakia	46.9						46.9	0.0		0.0	0.0	0.0	0.266462481						0.266462481		0.266462481	13	
Slovenia	39.7		36.7				39.7	0.0	36.7	0.0	0.0	0.0	0.156202144		0.222967187				0.156202144		0.156202144	18	
Sweden			40.9					0.0	40.9	0.0	0.0	0.0			0.294322397								
Turkey			47.3					0.0	47.3	0.0	0.0	0.0			0.403330218								
United States of America			61.2					0.0	61.2	0.0	0.0	0.0			0.639097258								
