Country	3_1_1	3_1_2	3_1_3	3_2_1	3_2_2	3_3_3	3_4_3	3_1_1_adj	3_1_2_adj	3_1_3_adj	3_2_1_adj	3_2_2_adj	3_3_3_adj	3_4_3_adj	3_1_1_norm	3_1_2_norm	3_1_3_norm	3_2_1_norm	3_2_2_norm	3_3_3_norm	3_4_3_norm	EMP	IND	Participation	Participation_Ranking						
Australia				48.4	36.0	71.6					48.4	36.0	71.6					0.771589923	0.75	0.85598051			0.792523477	0.792523477	2						
Austria	88.1	36.6	8.6	39.8	40.0	63.1	50.9	88.1	36.6	8.6	39.8	40.0	63.1	50.9	0.849104859	0.273597811	0.198725871	0.565930157	0.916666667	0.641172721	0.46173785	0.440476181	0.646376849	0.543426515	17						
Belgium	83.9	49.4	34.2	39.0	24.0	64.0	21.1	83.9	49.4	34.2	39.0	24.0	64.0	21.1	0.795396419	0.44870041	0.460705064	0.545906002	0.25	0.663314742	0.265399932	0.568267298	0.431155169	0.499711233	22						
Canada				48.7	32.0	71.1					48.7	32.0	71.1					0.777565237	0.583333333	0.843328869			0.73474248	0.73474248	4						
Switzerland							51.6							51.6							0.465843981										
Chile	63.8			39.4	24.0	77.4		63.8			39.4	24.0	77.4		0.538746803			0.555016827	0.25	1			0.601672276	0.601672276	12						
Czech Republic	90.6	89.7	25.8	42.2	25.0	60.7	18.7	90.6	89.7	25.8	42.2	25.0	60.7	18.7	0.881074169	1	0.374704079	0.621233187	0.291666667	0.579862656	0.250148027	0.751926083	0.435727634	0.593826858	13						
Germany	77.3	38.3	11.2	45.7	32.0	61.6	12.4	77.3	38.3	11.2	45.7	32.0	61.6	12.4	0.710997442	0.296853625	0.225239227	0.70585219	0.583333333	0.604209265	0.208346315	0.411030098	0.525435276	0.468232687	23						
Denmark	86.6	27.2	1.5	58.0	42.0	65.3	9.4	86.6	27.2	1.5	58.0	42.0	65.3	9.4	0.829923274	0.14500684	0.126017667	1	1	0.696198509	0.189032061	0.366982594	0.721307642	0.544145118	16						
Spain	86.0	39.7	82.6	35.3	31.0	73.7	63.1	86.0	39.7	82.6	35.3	31.0	73.7	63.1	0.822250639	0.316005472	0.955332464	0.457997746	0.541666667	0.90906011	0.541848889	0.697862859	0.612643353	0.655253106	8						
