Country	5_1_1	5_1_2	5_2_1	5_2_2	5_2_3	5_2_4	5_1_1_adj	5_1_2_adj	5_2_1_adj	5_2_2_adj	5_2_3_adj	5_2_4_adj	5_1_1_norm	5_1_2_norm	5_2_1_norm	5_2_2_norm	5_2_3_norm	5_2_4_norm	M&C	U&E	Quality	Quality_Ranking							
Australia			61.8						61.8			0.0			0.649959436														
Austria	35.9	57.4	55.5	85.2	68.7		35.9	57.4	55.5	85.2	68.7	0.0	0.098009188	0.694745183	0.542739961	0.514772969	0.650089114		0.396377186	0.569200681	0.482788934	16							
Belgium	48.0	30.5	59.4	77.1	74.6		48.0	30.5	59.4	77.1	74.6	0.0	0.28330781	0.137404911	0.608942426	0.165022694	0.765041525		0.21035636	0.513002215	0.361679288	24							
Canada			61.5						61.5			0.0			0.643474487														
Switzerland				88.2	57.5					88.2	57.5	0.0				0.647357427	0.43503636			0.541196894	0.541196894	7							
Chile			64.4						64.4			0.0			0.694026232														
Czech Republic	46.3	35.8		94.2	66.2		46.3	35.8		94.2	66.2	0.0	0.257274119	0.247607934		0.906806351	0.60251869		0.252441027	0.754662521	0.503551774	12							
Germany	40.1	25.1	51.2	82.5	50.8		40.1	25.1	51.2	82.5	50.8	0.0	0.162327718	0.025712005	0.468373462	0.40046496	0.305976918		0.094019862	0.391605114	0.242812488	26							
Denmark	33.5	42.7	82.4	79.2	67.4		33.5	42.7	82.4	79.2	67.4	0.0	0.061255743	0.391897302	1	0.257218575	0.625042736		0.226576522	0.627420437	0.426998479	21							
Spain	51.8	55.9	48.1	89.8	77.7		51.8	55.9	48.1	89.8	77.7	0.0	0.341500766	0.66429064	0.415590958	0.716055567	0.823022535		0.502895703	0.651556353	0.577226028	5							
Estonia	45.7	58.1	34.3	87.7	63.2		45.7	58.1	34.3	87.7	63.2	0.0	0.248085758	0.709913132	0.181505535	0.623825112	0.544760881		0.478999445	0.450030509	0.464514977	18							
Finland	51.4	45.7	53.7	87.4	66.3		51.4	45.7	53.7	87.4	66.3	0.0	0.335375191	0.453981478	0.510799975	0.611205649	0.603872874		0.394678335	0.575292833	0.484985584	15							
France	94.8	23.8	48.8	84.0	63.8		94.8	23.8	48.8	84.0	63.8	0.0	1	0	0.42815152	0.462518525	0.556137142		0.5	0.482269062	0.491134531	13							
United Kingdom	66.3	35.0	62.2	84.8	73.4		66.3	35.0	62.2	84.8	73.4	0.0	0.563552833	0.232157957	0.655319559	0.497449051	0.740462545		0.397855395	0.631077052	0.514466223	9							
Greece	69.4	53.7	58.5	89.0	66.1		69.4	53.7	58.5	89.0	66.1	0.0	0.611026034	0.619333662	0.593489663	0.6807643	0.600723836		0.615179848	0.6249926	0.620086224	3							
Hungary	39.3	28.6		84.7	86.9		39.3	28.6		84.7	86.9	0.0	0.15007657	0.098161166		0.493068877	1		0.124118868	0.746534438	0.435326653	19							
Ireland	56.1		62.9				56.1		62.9			0.0	0.407350689		0.667552844				0.407350689		0.407350689	22							
Israel			41.1						41.1			0.0			0.29788997														
Italy	52.5	35.0	42.1	92.3	81.7		52.5	35.0	42.1	92.3	81.7	0.0	0.352220521	0.232174288	0.315099116	0.82251442	0.900149163		0.292197404	0.679254233	0.485725819	14							
Japan			23.6						23.6			0.0			0														
Korea			31.1						31.1			0.0			0.126855057														
Lithuania	46.1	72.1	42.3	96.3	70.2		46.1	72.1	42.3	96.3	70.2	0.0	0.254211332	1	0.317792196	1	0.678825891		0.627105666	0.665539362	0.646322514	2							
Luxembourg	50.0	43.0		88.2	70.7		50.0	43.0		88.2	70.7	0.0	0.313935681	0.397183721		0.647060236	0.689583353		0.355559701	0.668321794	0.511940748	10							
Latvia	29.5	62.0		90.0	71.9		29.5	62.0		90.0	71.9	0.0	0	0.790308392		0.725209169	0.711671705		0.395154196	0.718440437	0.556797316	6							
Netherlands	87.4	54.5	55.1	73.3	34.9		87.4	54.5	55.1	73.3	34.9	0.0	0.886676876	0.636422825	0.536138912	0	0		0.76154985	0.178712971	0.470131411	17							
Norway	48.3	33.7	60.5	87.1	59.6		48.3	33.7	60.5	87.1	59.6	0.0	0.287901991	0.203513596	0.627728335	0.599231917	0.476153427		0.245707793	0.56770456	0.406706177	23							
New Zealand			66.3						66.3			0.0			0.726298206														
Poland	32.3	68.8	55.1	94.2	72.3		32.3	68.8	55.1	94.2	72.3	0.0	0.04287902	0.93238763	0.534614425	0.909034502	0.719906116		0.487633325	0.721185014	0.604409169	4							
Portugal	57.0	61.9		87.2	80.2		57.0	61.9		87.2	80.2	0.0	0.421133231	0.788974441		0.604293364	0.871145332		0.605053836	0.737719348	0.671386592	1							
Slovak Republic	46.9	37.5	56.7	88.7	62.0		46.9	37.5	56.7	88.7	62.0	0.0	0.266462481	0.282889924	0.562358827	0.668707977	0.521558327		0.274676202	0.584208377	0.42944229	20							
Slovenia	39.7	60.0	36.7	88.5	81.9		39.7	60.0	36.7	88.5	81.9	0.0	0.156202144	0.749448352	0.222967187	0.658596337	0.904057646		0.452825248	0.595207057	0.524016152	8							
Sweden		33.2	40.9	79.9	57.9			33.2	40.9	79.9	57.9	0.0		0.193200269	0.294322397	0.28608738	0.442297404		0.193200269	0.340902394	0.267051331	25							
Turkey		48.8	47.3	91.6	49.5			48.8	47.3	91.6	49.5	0.0		0.5178094	0.403330218	0.796191263	0.280776563		0.5178094	0.493432681	0.505621041	11							
United States												0.0																	
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
