Country	5_1_1	5_1_2	5_2_1	5_2_2	5_2_3	5_2_4	5_1_1_adj	5_1_2_adj	5_2_1_adj	5_2_2_adj	5_2_3_adj	5_2_4_adj	5_1_1_norm	5_1_2_norm	5_2_1_norm	5_2_2_norm	5_2_3_norm	5_2_4_norm	M&C	U&E	Total	Ranking
Australia			61.8	84.9		7.27			61.8	84.9		7.2685			0.649959436	0.551090002		0.298893474		0.499980971	0.499980971	13
Austria	35.9	57.4	55.5	85.2	68.7	4.10	35.9	57.4	55.5	85.2	68.7	4.0977	0.098009188	0.694745183	0.542739961	0.514772969	0.650089114	0.127976537	0.396377186	0.458894645	0.427635915	23
Belgium	48.0	30.5	59.4	77.1	74.6	6.96	48.0	30.5	59.4	77.1	74.6	6.9583	0.28330781	0.137404911	0.608942426	0.165022694	0.765041525	0.282171072	0.21035636	0.455294429	0.332825395	29
Canada			61.5			9.61			61.5			9.6061			0.643474487			0.424896075		0.534185281	0.534185281	9
Switzerland				88.2	57.5					88.2	57.5					0.647357427	0.43503636			0.541196894	0.541196894	8
Chile			64.4			20.28			64.4			20.2753			0.694026232			1		0.847013116	0.847013116	1
Czech Republic	46.3	35.8	53.7	94.2	66.2	8.65	46.3	35.8	53.7	94.2	66.2	8.6509	0.257274119	0.247607934	0.511343393	0.906806351	0.60251869	0.373408776	0.252441027	0.598519303	0.425480165	24
Germany	40.1	25.1	51.2	82.5	50.8	7.90	40.1	25.1	51.2	82.5	50.8	7.9011	0.162327718	0.025712005	0.468373462	0.40046496	0.305976918	0.332990509	0.094019862	0.376951462	0.235485662	33
Denmark	33.5	42.7	82.4	79.2	67.4	3.32	33.5	42.7	82.4	79.2	67.4	3.3247	0.061255743	0.391897302	1	0.257218575	0.625042736	0.08630987	0.226576522	0.492142795	0.359359659	27
Spain	51.8	55.9	48.1	89.8	77.7	9.13	51.8	55.9	48.1	89.8	77.7	9.1273	0.341500766	0.66429064	0.415590958	0.716055567	0.823022535	0.399091515	0.502895703	0.588440144	0.545667923	6
Estonia	45.7	58.1	34.3	87.7	63.2	15.90	45.7	58.1	34.3	87.7	63.2	15.9044	0.248085758	0.709913132	0.181505535	0.623825112	0.544760881	0.764394322	0.478999445	0.528621462	0.503810454	12
Finland	51.4	45.7	53.7	87.4	66.3	5.68	51.4	45.7	53.7	87.4	66.3	5.6833	0.335375191	0.453981478	0.510799975	0.611205649	0.603872874	0.213448212	0.394678335	0.484831678	0.439755006	21
France	94.8	23.8	48.8	84.0	63.8	7.01	94.8	23.8	48.8	84.0	63.8	7.0069	1	0	0.42815152	0.462518525	0.556137142	0.284791847	0.5	0.432899758	0.466449879	20
United Kingdom	66.3	35.0	62.2	84.8	73.4	10.65	66.3	35.0	62.2	84.8	73.4	10.6498	0.563552833	0.232157957	0.655319559	0.497449051	0.740462545	0.481154349	0.397855395	0.593596376	0.495725885	16
Greece	69.4	53.7	58.5	89.0	66.1	1.72	69.4	53.7	58.5	89.0	66.1	1.7235	0.611026034	0.619333662	0.593489663	0.6807643	0.600723836	0	0.615179848	0.46874445	0.541962149	7
Hungary	39.3	28.6		84.7	86.9		39.3	28.6		84.7	86.9		0.15007657	0.098161166		0.493068877	1		0.124118868	0.746534438	0.435326653	22
Ireland	56.1		62.9			11.16	56.1		62.9			11.1633	0.407350689		0.667552844			0.508835819	0.407350689	0.588194332	0.497772511	15
Israel			41.1			5.38			41.1			5.3815			0.29788997			0.19717644		0.247533205	0.247533205	32
Italy	52.5	35.0	42.1	92.3	81.7	3.93	52.5	35.0	42.1	92.3	81.7	3.9315	0.352220521	0.232174288	0.315099116	0.82251442	0.900149163	0.119020513	0.292197404	0.539195803	0.415696604	25
Japan			23.6			10.45			23.6			10.4536			0			0.470583384		0.235291692	0.235291692	34
Korea			31.1			8.67			31.1			8.6733			0.126855057			0.374617826		0.250736441	0.250736441	31
Lithuania	46.1	72.1	42.3	96.3	70.2	16.17	46.1	72.1	42.3	96.3	70.2	16.1658	0.254211332	1	0.317792196	1	0.678825891	0.778487863	0.627105666	0.693776488	0.660441077	3
Luxembourg	50.0	43.0		88.2	70.7		50.0	43.0		88.2	70.7		0.313935681	0.397183721		0.647060236	0.689583353		0.355559701	0.668321794	0.511940748	10
Latvia	29.5	62.0		90.0	71.9		29.5	62.0		90.0	71.9		0	0.790308392		0.725209169	0.711671705		0.395154196	0.718440437	0.556797316	5
Netherlands	87.4	54.5	55.1	73.3	34.9	5.79	87.4	54.5	55.1	73.3	34.9	5.7877	0.886676876	0.636422825	0.536138912	0	0	0.219072476	0.76154985	0.188802847	0.475176349	19
Norway	48.3	33.7	60.5	87.1	59.6	4.21	48.3	33.7	60.5	87.1	59.6	4.2094	0.287901991	0.203513596	0.627728335	0.599231917	0.476153427	0.133999685	0.245707793	0.459278341	0.352493067	28
New Zealand			66.3			6.97			66.3			6.9740			0.726298206			0.283016813		0.50465751	0.50465751	11
Poland	32.3	68.8	55.1	94.2	72.3	14.73	32.3	68.8	55.1	94.2	72.3	14.7350	0.04287902	0.93238763	0.534614425	0.909034502	0.719906116	0.701361488	0.487633325	0.716229133	0.601931229	4
Portugal	57.0	61.9		87.2	80.2		57.0	61.9		87.2	80.2		0.421133231	0.788974441		0.604293364	0.871145332		0.605053836	0.737719348	0.671386592	2
Slovak Republic	46.9	37.5	56.7	88.7	62.0	10.09	46.9	37.5	56.7	88.7	62.0	10.0911	0.266462481	0.282889924	0.562358827	0.668707977	0.521558327	0.451043459	0.274676202	0.550917147	0.412796675	26
Slovenia	39.7	60.0	36.7	88.5	81.9	6.08	39.7	60.0	36.7	88.5	81.9	6.0797	0.156202144	0.749448352	0.222967187	0.658596337	0.904057646	0.23481384	0.452825248	0.505108753	0.478967	18
Sweden		33.2	40.9	79.9	57.9	5.71		33.2	40.9	79.9	57.9	5.7089		0.193200269	0.294322397	0.28608738	0.442297404	0.214828674	0.193200269	0.309383964	0.251292116	30
