Cat	Dimension	SubDimension	Indicator	Indicator_code	source
Challenges	Urgency	Population ageing	Population aged 65+ as % of population aged 15-64, 2015	"1_1_1"	"UN world population prospects"
Challenges	Urgency	Population ageing	Population aged 65+ as % of population aged 15-64, 2050	"1_1_2"	"UN world population prospects"
Challenges	Urgency	Automation and structural change	% of workers facing a significant risk of automation (>50%)	"1_2_1"	"PIAAC / OECD 2018"
Challenges	Urgency	Automation and structural change	Lilien index (structural change over last 10 years - sectors)	"1_2_2"	"OECD national accounts database"
Challenges	Urgency	Adult skills	% of adults with low literacy and/or numeracy proficiency (0/1 level)	"1_3_1"	"PIAAC"
Challenges	Urgency	Adult skills	% of adults with low problem-solving skills in technology-rich environments	"1_3_2"	"PIAAC"
Challenges	Urgency	Labour market imbalances	% of workers reporting they need more training to do their current tasks	"1_4_1"	"PIAAC"
Challenges	Urgency	Labour market imbalances	"% of employers reporting difficulty filling jobs"	"1_4_2"	"Manpower talent shortage survey"
Challenges	Urgency	Labour market imbalances	% of enterprises reporting availability of staff with the right skills as a major obstacle to long-term investment decisions	"1_4_3"	"EIBIS"
Responses	Financing	Government	Public expenditure on ALMPs training, % of GDP	"2_1_1"	"OECD/ Eurostat"
Responses	Financing	Government	Public expenditure on ALMPs training per participant, % of GDP per head	"2_1_2"	"OECD/ Eurostat"
Responses	Financing	Employers	% of participants who have received funding from their employer for at least one learning activity	"2_1_1"	"PIAAC"
Responses	Financing	Employers	% of enterprises stating that high costs of continuing vocational training courses was a limiting factor on provision or a reason for non-provision	"2_2_2"	"CVTS/ Business Operations Surveya"
Responses	Financing	Employers	Investment in training of employees, % of total investments	"2_2_3"	"EIBIS"
Responses	Financing	Individual	% of participants who paid for taking part in non-formal learning activities 	"2_3_1"	"AES/ WRTAL"
Responses	Financing	Individual	% of adults who wanted to participate (more) in training, but did not because too expensive	"2_3_2"	"PIAAC"
Challenges	Participation	Employers	% of enterprises providing continuing vocational training 	"3_1_1"	"CVTS/ENCLAa/ Business Operations Surveyb/ Basic Survey of Human Resource Development"
Challenges	Participation	Employers	% of training enterprises providing continuing vocational training courses to more than 50% of their employees 	"3_1_2"	"CVTS/ Business Operations Survey"
Challenges	Participation	Employers	10-year time trend/growth rate of enterprises providing continuing vocational training 	"3_1_3"	"CVTS/ Business Operations Survey "
Challenges	Participation	Individuals	% of adults who participated in formal or non-formal job-related adult learning in the past 12 months 	"3_2_1"	"PIAAC"
Challenges	Participation	Individuals	Percentage of workers who participate at least once per week in informal job-related adult learning	"3_2_2"	"PIAAC"
Challenges	Participation	Individuals	Median number of hours participants spend on non-formal adult learning per year	"3_3_3"	"PIAAC"
Challenges	Participation	Individuals	10-year time trend/growth rate of adults participating in formal and non-formal job-related adult learning	"3_4_3"	"AES/WRTAL"
Challenges	Inclusiveness	Socio-demographic characteristics	Percentage point difference in participation between older (>55) and prime age population (25-54)	"4_1_1"	"PIAAC"
Challenges	Inclusiveness	Socio-demographic characteristics	Percentage point difference in participation between women and men	"4_1_2"	"PIAAC"
Challenges	Inclusiveness	Socio-demographic characteristics	Percentage point difference in participation between low-skilled and medium/high-skilled adults	"4_1_3"	"PIAAC"
Challenges	Inclusiveness	Socio-demographic characteristics	Percentage point difference in participation between low-wage and medium/high wage workers	"4_1_4"	"PIAAC"
Challenges	Inclusiveness	Employment and contract status	Percentage point difference in participation between the unemployed and employed	"4_2_1"	"PIAAC"
Challenges	Inclusiveness	Employment and contract status	Percentage point difference in participation between long-term unemployed and employed	"4_2_2"	"PIAAC"
Challenges	Inclusiveness	Employment and contract status	Percentage point difference in participation between workers on temporary and permanent contracts	"4_2_3"	"PIAAC"
Challenges	Inclusiveness	Employment and contract status	Percentage point difference in participation between workers in SMEs and larger firms	"4_2_4"	"PIAAC"
Responses	Quality	Monitoring & Certification	% of enterprises assessing the outcome of at least some of their continuing vocational training activities	"5_1_1"	"CVTS"
Responses	Quality	Monitoring & Certification	% of participants for whom a non-formal learning activity led to a certificate	"5_1_2"	"AES"
Responses	Quality	Usefulness & Effectiveness	% of participants for whom at least one training activity was �very useful� for their job	"5_2_1"	"PIAAC"
Responses	Quality	Usefulness & Effectiveness	% of participants currently using or expect to use the acquired skills 	"5_2_2"	"AES/WRTAL"
Responses	Quality	Usefulness & Effectiveness	% of participants for whom the acquired skills helped achieve positive employment outcomes	"5_2_3"	"AES"
Responses	Quality	Usefulness & Effectiveness	Wage returns to formal or non-formal adult learning	"5_2_4"	"PIAAC/ OECD"
Responses	Alignment	Assessment of skill needs 	% of enterprises that assess their future skill needs	"6_1_1"	"CVTS"
Responses	Alignment	Training for future skill needs	% of enterprises that provide training in response to future skill needs	"6_2_1"	"CVTS"
Responses	Alignment	Training for future skill needs	% of training hours outside compulsory training	"6_2_2"	"CVTS"
Responses	Alignment	Training for future skill needs	Overlap between firms' development priorities and their training activities (0-3)	"6_2_3"	"CVTS"
Responses	Alignment	Training for workers at risk	Percentage point difference in participation between workers in easy-to-fill occupations and hard-to-fill occupations	"6_3_1"	"PIAAC"
Responses	Alignment	Training for workers at risk	Percentage point difference in participation between workers in jobs with significant risk of automation and low risk of automation	"6_3_2"	"PIAAC"
Responses	Alignment	Training for workers at risk	% of workers with self-reported training needs who participated adult learning 	"6_3_3"	"PIAAC"
Responses	Flexiguidance	Flexibility of AES provision	% of individuals who wanted to participate but did not for time or distance constraints	"7_1_1"	"PIAAC"
Responses	Flexiguidance	Flexibility of AES provision	% of individuals who state that one of their (non-formal) education and training activities in the past 12 months was organised as distance learning	"7_1_2"	"PIAAC"
Responses	Flexiguidance	Use of career guidance services	% of adult population who looked for information on training and education	"7_2_1"	"AES"
Responses	Flexiguidance	Use of career guidance services	"% of adults who received information or advice/help on learning possibilities from institutions/organisations "	"7_2_2"	"AES"
