"Country"	"variable"	"value"
"Australia"	"2_1_1"	0.31
"Austria"	"2_1_1"	15.85
"Belgium"	"2_1_1"	4.28
"Canada"	"2_1_1"	1.89
"Switzerland"	"2_1_1"	6.54
"Chile"	"2_1_1"	2.67
"Czech Republic"	"2_1_1"	0.79
"Germany"	"2_1_1"	8.38
"Denmark"	"2_1_1"	18.87
"Spain"	"2_1_1"	1.1
"Estonia"	"2_1_1"	2.49
"Finland"	"2_1_1"	10.44
"France"	"2_1_1"	7.81
"United Kingdom"	"2_1_1"	NA
"Greece"	"2_1_1"	0.84
"Hungary"	"2_1_1"	0.95
"Ireland"	"2_1_1"	4.78
"Israel"	"2_1_1"	2.4
"Italy"	"2_1_1"	3.33
"Japan"	"2_1_1"	0.58
"Korea"	"2_1_1"	2.07
"Lithuania"	"2_1_1"	1.53
"Luxembourg"	"2_1_1"	1.54
"Latvia"	"2_1_1"	1.22
"Netherlands"	"2_1_1"	1.93
"Norway"	"2_1_1"	4.39
"New Zealand"	"2_1_1"	3.45
"Poland"	"2_1_1"	0.29
"Portugal"	"2_1_1"	4.35
"Slovak Republic"	"2_1_1"	0.17
"Slovenia"	"2_1_1"	0.92
"Sweden"	"2_1_1"	3.77
"Turkey"	"2_1_1"	NA
"United States"	"2_1_1"	1.16
"OECD"	"2_1_1"	3.79
"Australia"	"2_1_2"	11.96
"Austria"	"2_1_2"	33.8
"Belgium"	"2_1_2"	14.03
"Canada"	"2_1_2"	52.5
"Switzerland"	"2_1_2"	44.78
"Chile"	"2_1_2"	NA
"Czech Republic"	"2_1_2"	48.97
"Germany"	"2_1_2"	17.45
"Denmark"	"2_1_2"	55.42
"Spain"	"2_1_2"	18.88
"Estonia"	"2_1_2"	41.18
"Finland"	"2_1_2"	38.65
"France"	"2_1_2"	42.63
"United Kingdom"	"2_1_2"	NA
"Greece"	"2_1_2"	76.47
"Hungary"	"2_1_2"	6.19
"Ireland"	"2_1_2"	25.16
"Israel"	"2_1_2"	9.49
"Italy"	"2_1_2"	12.46
"Japan"	"2_1_2"	NA
"Korea"	"2_1_2"	NA
"Lithuania"	"2_1_2"	48.02
"Luxembourg"	"2_1_2"	26.3
"Latvia"	"2_1_2"	33.36
"Netherlands"	"2_1_2"	10
"Norway"	"2_1_2"	39.57
"New Zealand"	"2_1_2"	16.91
"Poland"	"2_1_2"	85.57
"Portugal"	"2_1_2"	25.94
"Slovak Republic"	"2_1_2"	22.67
