"Country"	"variable"	"value"
"Australia"	"4_1_1"	20.7
"Austria"	"4_1_1"	32.1
"Belgium"	"4_1_1"	28.2
"Canada"	"4_1_1"	22.9
"Switzerland"	"4_1_1"	NA
"Chile"	"4_1_1"	19.6
"Czech Republic"	"4_1_1"	24.9
"Germany"	"4_1_1"	22.6
"Denmark"	"4_1_1"	27.2
"Spain"	"4_1_1"	23.9
"Estonia"	"4_1_1"	18.3
"Finland"	"4_1_1"	28.5
"France"	"4_1_1"	25.4
"United Kingdom"	"4_1_1"	22.2
"Greece"	"4_1_1"	14.6
"Hungary"	"4_1_1"	NA
"Ireland"	"4_1_1"	20.1
"Israel"	"4_1_1"	11.8
"Italy"	"4_1_1"	15.6
"Japan"	"4_1_1"	18.4
"Korea"	"4_1_1"	22.4
"Lithuania"	"4_1_1"	12.6
"Luxembourg"	"4_1_1"	NA
"Latvia"	"4_1_1"	NA
"Netherlands"	"4_1_1"	29.1
"Norway"	"4_1_1"	27
"New Zealand"	"4_1_1"	13.7
"Poland"	"4_1_1"	22.3
"Portugal"	"4_1_1"	NA
"Slovak Republic"	"4_1_1"	17.3
"Slovenia"	"4_1_1"	30.5
"Sweden"	"4_1_1"	20.1
"Turkey"	"4_1_1"	16.8
"United States"	"4_1_1"	12.4
"OECD"	"4_1_1"	21.4
"Australia"	"4_1_2"	5
"Austria"	"4_1_2"	6.5
"Belgium"	"4_1_2"	6.3
"Canada"	"4_1_2"	4.6
"Switzerland"	"4_1_2"	NA
"Chile"	"4_1_2"	14
"Czech Republic"	"4_1_2"	12
"Germany"	"4_1_2"	10.1
"Denmark"	"4_1_2"	-0.7
"Spain"	"4_1_2"	5.3
"Estonia"	"4_1_2"	-4
"Finland"	"4_1_2"	0.1
"France"	"4_1_2"	3.3
"United Kingdom"	"4_1_2"	5.7
"Greece"	"4_1_2"	3.9
"Hungary"	"4_1_2"	NA
"Ireland"	"4_1_2"	6.5
"Israel"	"4_1_2"	2.7
"Italy"	"4_1_2"	5.7
"Japan"	"4_1_2"	15.6
"Korea"	"4_1_2"	14.6
"Lithuania"	"4_1_2"	-3.3
"Luxembourg"	"4_1_2"	NA
"Latvia"	"4_1_2"	NA
"Netherlands"	"4_1_2"	9.2
"Norway"	"4_1_2"	0.3
"New Zealand"	"4_1_2"	5.3
"Poland"	"4_1_2"	2.6
"Portugal"	"4_1_2"	NA
"Slovak Republic"	"4_1_2"	5.4
"Slovenia"	"4_1_2"	1.6
"Sweden"	"4_1_2"	0.8
"Turkey"	"4_1_2"	13.2
"United States"	"4_1_2"	6.3
"OECD"	"4_1_2"	5.5
